TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Stolokrosuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;extinct ;Niger;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Peirosauridae;Stolokrosuchus;https://www.mindat.org/
Hamadasuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;extinct ;Morocco;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Peirosauridae;Hamadasuchus;https://www.mindat.org/
Lomasuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Turonian;93.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Santonian;85.8;extinct ;Argentina;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Peirosauridae;Lomasuchus;https://www.mindat.org/
Gasparinisuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Coniacian;86.3;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;70.6;extinct ;Argentina;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Peirosauridae;Gasparinisuchus;https://www.mindat.org/
Montealtosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;83.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Peirosauridae;Montealtosuchus;https://www.mindat.org/
Uberabasuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Brazil;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Peirosauridae;Uberabasuchus;"https://www.mindat.org/; usado datos de edad para Uberasuchus de wikipedia"
Mahajangasuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Madagascar;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Mahajangasuchidae;Mahajangasuchus;https://www.mindat.org/
Kaprosuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;93.9;extinct ;Niger;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Mahajangasuchidae;Kaprosuchus;https://www.mindat.org/
Candidodon;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;extinct ;Brazil;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Candidodontidae;Candidodon;https://www.mindat.org/
Libycosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Cenomanian;99.6;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;Egypt-Niger;marine ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Libycosuchus;https://www.mindat.org/
Simosuchus;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Maastrichtian;66;extinct ;India-Madagascar;marine ;actively mobile;herbivore and carnivore;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Simosuchus;https://www.mindat.org/
Malawisuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;extinct ;Malawi;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Candidodontidae;Malawisuchus;https://www.mindat.org/
Pakasuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72.1;extinct ;Tanzania;terrestrial ;actively mobile;carnivore ;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;Candidodontidae;Pakasuchus;https://www.mindat.org/
Chimaerasuchus;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;100.5;extinct ;China;marine ;actively mobile;herbivore and carnivore;phosphatic ;Animalia;Chordata;Reptilia;Eosuchia;-;Chimaerasuchus;https://www.mindat.org/
