book_id,group,title_es,author,audience,translated,n_tokens_running,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,emotion_density,valence_ratio,valence_balance,count_anger,count_anticipation,count_disgust,count_fear,count_joy,count_negative,count_positive,count_sadness,count_surprise,count_trust
CMP18,Comparison,Luz en las tinieblas,R. A. Salvatore,adult,TRUE,115070,19.40557921265317,21.40436256191883,14.434691926653342,27.42678369688016,13.6525593117233,44.181802381159294,46.3630833405753,18.414877900408445,14.521595550534457,24.25480142521943,153.51525158599114,1.0493705743509048,2.181280959416007,2233,2463,1661,3156,1571,5084,5335,2119,1671,2791
CMP19,Comparison,Noche sin estrellas,R. A. Salvatore,adult,TRUE,108876,20.09625629156104,21.225981850912966,14.50273705867225,29.905580660567985,13.639369558029317,42.617289393438405,44.92266431536794,19.60946397736875,15.806973070281789,25.230537492192955,160.01689995958705,1.054094827586207,2.305374921929534,2188,2311,1579,3256,1485,4640,4891,2135,1721,2747
CMP20,Comparison,La gema del halfling,R. A. Salvatore,adult,TRUE,108863,20.750851988278846,23.772999090600113,16.442684842416615,30.359258885020623,12.75915600341714,44.018628918916434,44.220717782901446,19.556690519276522,15.524099097030213,25.702029155911557,164.86776958195162,1.0045909849749584,0.20208886398501136,2259,2588,1790,3305,1389,4792,4814,2129,1690,2798
CMP21,Comparison,La piedra de cristal,R. A. Salvatore,adult,TRUE,115465,24.622179881349325,24.786731910102628,14.645130559043865,32.59862295933833,13.934958645476984,47.08786212272117,47.84133720174945,20.750876889100592,15.000216515827306,28.6840168016282,175.02273416186722,1.016001471399669,0.7534750790282772,2843,2862,1691,3764,1609,5437,5524,2396,1732,3312
CMP22,Comparison,Ríos de plata,R. A. Salvatore,adult,TRUE,112781,22.02498647821885,23.984536402408207,13.982851721477909,31.0690630514005,13.610448568464546,44.457843076404714,44.874579938110145,21.023044661778137,15.756200069160586,25.757884750090884,167.2090157029996,1.0093737534902274,0.4167368617054308,2484,2705,1577,3504,1535,5014,5061,2371,1777,2905
CMP23,Comparison,Finis Mundi,Laura Gallego García,young_adult,FALSE,61232,13.86529918996603,23.729422524170367,10.974653775803501,18.34008361640972,15.727070812646982,33.21792526783381,46.5606218970473,19.515939378102953,12.297491507708388,27.681604389861512,142.13156519466946,1.4016715830875124,13.342696629213485,849,1453,672,1123,963,2034,2851,1195,753,1695
CMP24,Comparison,Guerra Mundial Z,Max Brooks,adult,TRUE,126381,18.016948750207707,19.19592343785854,11.544456840822592,25.59720211107682,11.528631677229964,38.241507821587106,42.870368172430986,21.39562117723392,10.887712551728503,26.39637287250457,144.56286941866261,1.1210428305400373,4.62886035084388,2277,2426,1459,3235,1457,4833,5418,2704,1376,3336
CMP25,Comparison,Harry Potter y el cáliz de fuego,J. K. Rowling,young_adult,TRUE,199618,13.711188369786292,19.281828292037794,14.968590006913205,17.713833421835705,13.140097586390004,37.44652285866004,40.44725425562825,20.123435762306006,11.782504583754973,28.203869390535925,138.9253474135599,1.080133779264214,3.000731396968213,2737,3849,2988,3536,2623,7475,8074,4017,2352,5630
CMP26,Comparison,Harry Potter y el misterio del príncipe,J. K. Rowling,young_adult,TRUE,175160,12.365836949075131,18.874172185430464,12.925325416761817,17.172870518383192,13.621831468371774,34.334322904772776,43.326101849737384,19.319479333181093,10.887188855903174,26.530029687143184,131.69673441424982,1.2618889258397075,8.991778944964608,2166,3306,2264,3008,2386,6014,7589,3384,1907,4647
CMP27,Comparison,Harry Potter y el prisionero de Azkaban,J. K. Rowling,children,TRUE,109618,12.507070006750716,19.786896312649382,12.014450181539528,18.83814701965006,13.282490101990549,34.72969767738875,39.64677334014487,19.41287014906311,12.634786257731394,27.814774945720593,136.29148497509533,1.1415812976096664,4.917075662756119,1371,2169,1317,2065,1456,3807,4346,2128,1385,3049
