book_id,group,title_es,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
CMP13,Comparison,El perfume,0.10807006568658117,0.13778542383484518,0.11815764779480764,0.13583046606193305,0.11111979981232406,0.1386456052549265,0.08140444166406006,0.16898654989052236
CMP14,Comparison,El caso Bourne,0.1145970681765299,0.13875746529124328,0.08543395641045527,0.15194291475994723,0.0751570619716125,0.14996509733964164,0.07953928488326999,0.20460715116730008
CMP15,Comparison,El extraño caso de Benjamin Button,0.07883565797453002,0.13947847180109157,0.11522134627046694,0.11340206185567009,0.10309278350515465,0.12492419648271681,0.07883565797453002,0.24620982413583992
CMP16,Comparison,Cerco de oscuridad,0.14445112946452987,0.12744079199256142,0.08838812011157907,0.18000328173713284,0.083301427555652785,0.12175244762894492,0.07755838757315539,0.1771044139364437
CMP17,Comparison,El legado,0.1547574742587768,0.11319935491874457,0.10284083860563206,0.2066741099119216,0.06401190919240789,0.13968490261754124,0.08522515816896166,0.13360625232601414
CMP18,Comparison,Luz en las tinieblas,0.1264081517124257,0.1394282479479196,0.094027738465893,0.17865836399660345,0.08893291819983018,0.1199547127087461,0.09459382960656665,0.15799603736201528
CMP19,Comparison,Noche sin estrellas,0.12558833658592583,0.13264837561703594,0.09063253357823442,0.18689013890483297,0.08523705659510963,0.12254620594650444,0.09878314774423143,0.15767420502812537
CMP20,Comparison,La gema del halfling,0.12586360597281035,0.14419433920213953,0.09973256073100067,0.18414308000891466,0.07739023846668153,0.11862045910407845,0.0941609092935146,0.15589480722086027
CMP21,Comparison,La piedra de cristal,0.14067989509624426,0.1416200702657232,0.08367559008362611,0.1862536493641447,0.0796179919837696,0.11856103716166065,0.08570438913355435,0.16388737691127717
CMP22,Comparison,Ríos de plata,0.13172128539611838,0.14344044967652986,0.08362498674302683,0.1858097359210945,0.08139781525082194,0.12572913352423376,0.09423056527733589,0.1540460282108389
CMP23,Comparison,Finis Mundi,0.09755256807997241,0.16695392393427552,0.07721475353326439,0.12903596460990463,0.11065149948293691,0.13730897391704008,0.08652188900379179,0.1947604274388142
CMP24,Comparison,Guerra Mundial Z,0.1246305418719212,0.13278598795840174,0.07985769020251779,0.1770662287903667,0.07974822112753148,0.14800218938149973,0.07531472359058566,0.18259441707717572
CMP25,Comparison,Harry Potter y el cáliz de fuego,0.0986946487811914,0.13879273041973172,0.10774556469061013,0.12750613010240877,0.09458387422472234,0.1448507139766335,0.08481176979662484,0.20301456800807732
CMP26,Comparison,Harry Potter y el misterio del príncipe,0.09389630657187446,0.14331541529391364,0.09814461591815503,0.13039708687359114,0.10343332755332062,0.14669672273279002,0.08266863187099012,0.20144789318536502
CMP27,Comparison,Harry Potter y el prisionero de Azkaban,0.09176706827309238,0.14518072289156628,0.08815261044176707,0.13821954484605087,0.09745649263721552,0.14243641231593038,0.0927041499330656,0.2040829986613119
CMP28,Comparison,Harry Potter y la cámara secreta,0.09732824427480916,0.13875636132315522,0.11172073791348601,0.14002862595419846,0.09645356234096691,0.13597328244274806,0.08571882951653943,0.19402035623409666
CMP29,Comparison,Harry Potter y la orden del fénix,0.10129194329804414,0.14558286978886298,0.0952509121358933,0.13421855374125247,0.09976673246007536,0.143339912674203,0.08804354327411926,0.1925055326275495
CMP30,Comparison,Harry Potter y la piedra filosofal,0.09947846242997875,0.1472860730152598,0.10034769171334751,0.13675874058334944,0.09860923314661,0.14467838516515355,0.08943403515549546,0.1834073787908055
CMP31,Comparison,Harry Potter y las reliquias de la muerte,0.10772978475858057,0.13718004653868526,0.10387579988365328,0.1527777777777778,0.08987783595113438,0.15030541012216403,0.08940517742873764,0.168848167539267
CMP32,Comparison,Historias fantásticas,0.09716339365935053,0.14542420741881656,0.08933384674624567,0.13374406366320113,0.10935695032730074,0.14645103324348607,0.08946219997432936,0.18906430496726992
CMP33,Comparison,La expedición,0.09220430107526882,0.15510752688172044,0.09422043010752688,0.1493279569892473,0.09973118279569894,0.14973118279569894,0.0842741935483871,0.17540322580645162
CMP34,Comparison,La historia interminable,0.089932565495017,0.17061526526227844,0.08999224204809929,0.1326013009488572,0.1148176881303336,0.1334964492450916,0.09351315867995463,0.1750313301903682
CMP35,Comparison,La emperatriz de los Etéreos,0.09404119666503188,0.16245708680725848,0.08435507601765571,0.13965179009318293,0.10507601765571359,0.15718489455615497,0.08435507601765571,0.17287886218734674
CMP36,Comparison,La torre oscura: el pistolero,0.11524123974864202,0.14165512834167643,0.10554904675684312,0.14751304718287359,0.08627116838853978,0.16838853978059432,0.08115880285440409,0.15422302694642667
CMP37,Comparison,Las dos espadas,0.14967840401177368,0.13141829281587264,0.10307423961626512,0.17922162869290306,0.07958138013735963,0.1145208764853374,0.07909080998582797,0.1634143682546604
CMP38,Comparison,Los senderos de la muerte,0.1512075932713091,0.12414246781317545,0.11441593835165868,0.19260407856404474,0.07348933370923785,0.12254487360210506,0.07503993985527677,0.14655577483319238
CMP39,Comparison,El alquimista,0.10444158352108143,0.20373350498873513,0.07467009977470229,0.12069520437721276,0.12471837785645318,0.10766012230447378,0.0785323463147731,0.1855487608625684
CMP40,Comparison,El ladrón del rayo,0.10374014323952832,0.14504810822542138,0.08637777617015119,0.1454098242060334,0.10931056934095347,0.13296679447297982,0.08478622585545828,0.19236055848947406
