book_id,group,title_es,author,audience,translated,n_tokens_running,n_sentences,words_per_sentence,sd_words_per_sentence,median_words_per_sentence,pct_short_sentences,pct_long_sentences,letters_per_word,syllables_per_word,Fernandez_Huerta,Szigriszt_Pazos,Gutierrez_Polini,Mu_index,inflesz_band_en,inflesz_band_es,Flesch_Kincaid_EN,ARI_EN,flag_segmentation
CMP37,Comparison,Las dos espadas,R. A. Salvatore,adult,TRUE,125617,7131,17.615621932407798,11.819080631216355,15,29.280605805637354,23.12438648155939,4.609901526067332,1.9650365794438651,70.96987086231215,66.79759916823943,44.31848752080416,63.47488352584658,fairly easy,bastante facil,14.467524191076652,9.090447153981032,FALSE
CMP38,Comparison,Los senderos de la muerte,R. A. Salvatore,adult,TRUE,131528,8389,15.678626773155322,9.966854713934133,14,30.933365120991773,15.055429729407557,4.706678425886503,1.9807645520345478,72.0019275693087,67.75474163509236,44.05769989829657,63.05385419924009,fairly easy,bastante facil,13.897686155538242,8.577768772503092,FALSE
CMP39,Comparison,El alquimista,Paulo Coelho,adult,TRUE,38086,2825,13.481769911504426,8.144384293029603,12,37.52212389380531,8.035398230088497,4.568082760069317,1.953710024680985,75.86599320940638,71.63709555087021,46.17097775830108,67.69519119403049,fairly easy,bastante facil,12.721668556722353,6.8265547556787,FALSE
CMP40,Comparison,El ladrón del rayo,Rick Riordan,young_adult,TRUE,89382,8776,10.18482224247949,7.814448046894475,8,59.43482224247949,5.116226071103008,4.531113647043028,1.956490121053456,79.06207404946356,74.76084321589022,47.68350983881481,70.16206899798902,fairly easy,bastante facil,11.468664102997781,5.003956398812409,FALSE
CMP41,Comparison,El mar de los monstruos,Rick Riordan,young_adult,TRUE,68957,6339,10.878214229373718,8.595005002518292,8,56.633538412998895,7.051585423568387,4.582638455849297,1.9812926896471714,76.86666010720853,72.52225120560752,46.94103199798103,67.32243435775396,fairly easy,bastante facil,12.031757287292375,5.59333424173705,FALSE
CMP42,Comparison,La batalla del laberinto,Rick Riordan,young_adult,TRUE,90663,9557,9.486554358062154,7.2506771551090345,7,63.17882180600607,4.049387883226954,4.578438833923431,1.9819882421715584,78.24442002448309,73.87057815464978,47.468849285620976,67.64736347208856,fairly easy,bastante facil,11.497217457268633,4.877724086810439,FALSE
CMP43,Comparison,La maldición del titán,Rick Riordan,young_adult,TRUE,75349,8101,9.301197383039131,6.972345661313832,7,63.745216639921,3.419330946796692,4.552296646272678,1.9772790614341265,78.7160349832525,74.3493170896148,47.78730344709133,67.08695064356186,fairly easy,bastante facil,11.369359904307956,4.661915895463881,FALSE
CMP44,Comparison,Peter Pan,J. M. Barrie,children,TRUE,47889,3111,15.39344262295082,12.564671217378011,11,41.46576663452266,17.61491481838637,4.494351521226169,1.9384827413393473,74.82972404422932,70.67408259160786,46.21708532607338,67.64564812111459,fairly easy,bastante facil,13.287538970755122,7.435116976450665,FALSE
CMP45,Comparison,Hora cero,S. D. Perry,adult,TRUE,62212,4196,14.82650142993327,9.813459649488227,13,35.605338417540516,13.918017159199236,4.6585385456182085,2.013421847875008,70.91165766896758,66.57231744745374,44.82290060702674,64.3832703720617,fairly easy,bastante facil,13.950713362599071,7.924967264828396,FALSE
CMP46,Comparison,La conspiración Umbrella,S. D. Perry,adult,TRUE,73887,4133,17.877328816840066,11.595564294604507,16,25.816598112751027,21.195257682071134,4.672621706118803,2.0052377278817652,68.29086093391723,64.03136073612598,43.6185043647536,62.843293265400256,normal,normal,15.043963427572457,9.516712644239597,FALSE
CMP47,Comparison,El siervo de la piedra,R. A. Salvatore,adult,TRUE,110651,6483,17.067869813358012,10.810035610954989,15,28.443621780040107,20.22211938917168,4.773260069949662,2.043985142474989,66.7916642418755,62.42685581045019,42.92562288681298,59.435295359287856,normal,normal,15.185493908414497,9.585989836141913,FALSE
CMP48,Comparison,El estigma de Errtu,R. A. Salvatore,adult,TRUE,114473,6064,18.877473614775724,13.295161063068285,16,28.842348284960423,26.236807387862797,4.74068994435369,2.0286093664008105,65.86841492888014,61.575162858453794,42.608191774597714,62.11064746403181,normal,normal,15.709805233292098,10.337386445293742,FALSE
CMP49,Comparison,El mar de las espadas,R. A. Salvatore,adult,TRUE,112685,6866,16.41203029420332,10.961491415469744,14,31.63413923681911,18.08913486746286,4.613684163819497,1.9639437369658783,72.26310488195992,68.06927489282248,44.70305300797972,65.70337498532979,fairly easy,bastante facil,13.985227910936661,8.50646755869149,FALSE
CMP50,Comparison,La columna del mundo,R. A. Salvatore,adult,TRUE,114515,7303,15.680542242913871,10.28206994200027,14,32.781048884020265,16.50006846501438,4.599886477754006,1.9746670741824215,72.36582246128256,68.13269903552128,45.092911380766296,64.27520492160853,fairly easy,bastante facil,13.826482950088984,8.075736431678305,FALSE
CMP51,Comparison,Conflicto,L. J. Smith,young_adult,TRUE,52470,4577,11.463840943849684,7.431477845946998,10,47.21433253222635,4.806641905178064,4.602534781780065,2.0071469411092053,74.71806577072101,70.32590462504683,46.54306828638599,66.53600490369213,fairly easy,bastante facil,12.565231873190001,5.979859294108948,FALSE
