book_id,group,title_es,title_en,author,series,series_position,year_first_edition,audience,original_language,translated,n_tokens_running,n_types_content,n_tokens_content,n_sentences,n_characters,n_syllables,content_ratio,words_per_sentence,letters_per_word,syllables_per_word
CMP33,Comparison,La expedición,The Jaunt,Stephen King,,,1981,adult,en,TRUE,51044,7542,25216,3671,230589,99989,0.4940051720084633,13.904658131299373,4.517455528563592,1.9588786145286419
CMP34,Comparison,La historia interminable,The Neverending Story,Michael Ende,,,1979,children,de,TRUE,117770,10597,59072,9105,542505,233009,0.5015878407064618,12.934651290499726,4.606478729727435,1.978508958138745
CMP35,Comparison,La emperatriz de los Etéreos,The Empress of the Ethereal,Laura Gallego García,,,2007,young_adult,es,FALSE,67370,7491,33291,5311,302360,131757,0.49415169956954136,12.684993409903973,4.488051061303251,1.9557221315125426
CMP36,Comparison,La torre oscura: el pistolero,The Dark Tower: The Gunslinger,Stephen King,La torre oscura,1,1982,adult,en,TRUE,61811,9490,31675,4935,286443,123698,0.5124492404264613,12.525025329280648,4.634175146818527,2.001229554610021
CMP37,Comparison,Las dos espadas,The Two Swords,R. A. Salvatore,Las espadas del cazador,3,2004,adult,en,TRUE,125617,12164,63378,7131,579082,246842,0.5045336220416027,17.615621932407798,4.609901526067332,1.9650365794438651
CMP38,Comparison,Los senderos de la muerte,The Lone Drow,R. A. Salvatore,Las espadas del cazador,2,2003,adult,en,TRUE,131528,11471,67312,8389,619060,260526,0.5117693570950672,15.678626773155322,4.706678425886503,1.9807645520345478
CMP39,Comparison,El alquimista,The Alchemist,Paulo Coelho,,,1988,adult,pt,TRUE,38086,4671,18459,2825,173980,74409,0.4846662815732815,13.481769911504426,4.568082760069317,1.953710024680985
CMP40,Comparison,El ladrón del rayo,The Lightning Thief,Rick Riordan,Percy Jackson y los dioses del Olimpo,1,2005,young_adult,en,TRUE,89382,10608,45053,8776,405000,174875,0.5040500324450113,10.18482224247949,4.531113647043028,1.956490121053456
CMP41,Comparison,El mar de los monstruos,The Sea of Monsters,Rick Riordan,Percy Jackson y los dioses del Olimpo,2,2006,young_adult,en,TRUE,68957,9305,35063,6339,316005,136624,0.5084762968226576,10.878214229373718,4.582638455849297,1.9812926896471714
CMP42,Comparison,La batalla del laberinto,The Battle of the Labyrinth,Rick Riordan,Percy Jackson y los dioses del Olimpo,4,2008,young_adult,en,TRUE,90663,10647,46111,9557,415095,179693,0.5085977741746909,9.486554358062154,4.578438833923431,1.9819882421715584
CMP43,Comparison,La maldición del titán,The Titan's Curse,Rick Riordan,Percy Jackson y los dioses del Olimpo,3,2007,young_adult,en,TRUE,75349,9564,37816,8101,343011,148986,0.5018779280415135,9.301197383039131,4.552296646272678,1.9772790614341265
CMP44,Comparison,Peter Pan,Peter Pan,J. M. Barrie,,,1911,children,en,TRUE,47889,6574,23320,3111,215230,92832,0.48695942700829,15.39344262295082,4.494351521226169,1.9384827413393473
CMP45,Comparison,Hora cero,Zero Hour,S. D. Perry,Resident Evil,7,2004,adult,en,TRUE,62212,7314,31537,4196,289817,125259,0.5069279238732077,14.82650142993327,4.6585385456182085,2.013421847875008
CMP46,Comparison,La conspiración Umbrella,The Umbrella Conspiracy,S. D. Perry,Resident Evil,1,1998,adult,en,TRUE,73887,8031,37482,4133,345246,148161,0.5072881562385806,17.877328816840066,4.672621706118803,2.0052377278817652
CMP47,Comparison,El siervo de la piedra,Servant of the Shard,R. A. Salvatore,Sendas de tinieblas,3,2000,adult,en,TRUE,110651,10871,56819,6483,528166,226169,0.5134973927031838,17.067869813358012,4.773260069949662,2.043985142474989
CMP48,Comparison,El estigma de Errtu,The Spine of the World,R. A. Salvatore,Sendas de tinieblas,2,1999,adult,en,TRUE,114473,10871,58941,6064,542681,232221,0.5148899740550174,18.877473614775724,4.74068994435369,2.0286093664008105
CMP49,Comparison,El mar de las espadas,Sea of Swords,R. A. Salvatore,Sendas de tinieblas,4,2001,adult,en,TRUE,112685,10560,58252,6866,519893,221307,0.5169454674535209,16.41203029420332,4.613684163819497,1.9639437369658783
CMP50,Comparison,La columna del mundo,The Silent Blade,R. A. Salvatore,Sendas de tinieblas,1,1998,adult,en,TRUE,114515,11085,57936,7303,526756,226129,0.5059249879928394,15.680542242913871,4.599886477754006,1.9746670741824215
CMP51,Comparison,Conflicto,The Struggle,L. J. Smith,Crónicas vampíricas,2,1991,young_adult,en,TRUE,52470,6851,26594,4577,241495,105315,0.5068420049552125,11.463840943849684,4.602534781780065,2.0071469411092053
CMP52,Comparison,Despertar,The Awakening,L. J. Smith,Crónicas vampíricas,1,1991,young_adult,en,TRUE,57263,7223,29221,4755,263831,114955,0.5102946055917433,12.042691903259726,4.607355534987688,2.0074917485985715
CMP53,Comparison,El regreso: anochecer,The Return: Nightfall,L. J. Smith,Crónicas vampíricas,5,2009,young_adult,en,TRUE,120678,10576,61366,6914,545053,234721,0.508510250418469,17.454150997975123,4.516589602081573,1.9450189761182652
CMP54,Comparison,Furia,The Fury,L. J. Smith,Crónicas vampíricas,3,1991,young_adult,en,TRUE,55247,7005,27964,4780,253733,110375,0.5061632305826561,11.557949790794979,4.592701866164679,1.9978460368888808
CMP55,Comparison,Invocación,Dark Reunion,L. J. Smith,Crónicas vampíricas,4,1992,young_adult,en,TRUE,55928,6977,28901,5118,259006,111915,0.5167536833071091,10.927706135209066,4.631061364611644,2.0010549277642684
CMP56,Comparison,Stardust,Stardust,Neil Gaiman,,,1999,adult,en,TRUE,59026,7882,29752,3905,264380,114045,0.50404906312472475,15.11549295774648,4.4790431335343746,1.9321146613356825
CMP57,Comparison,La zona muerta,The Dead Zone,Stephen King,,,1979,adult,en,TRUE,156375,17362,79691,13003,730621,312473,0.5096147082334133,12.026070906713835,4.672236610711431,1.998228617106315
CMP58,Comparison,El nombre de la rosa,The Name of the Rose,Umberto Eco,,,1980,adult,it,TRUE,190088,19920,93073,9363,894285,381327,0.4896311182189302,20.302039944462244,4.704584192584488,2.0060550902739784
CMP59,Comparison,Demonios del océano,Demons of the Ocean,Justin Somper,Vampiratas,1,2005,young_adult,en,TRUE,63698,7329,32315,5922,288821,124951,0.5073157712958021,10.756163458291118,4.5342239944739235,1.96161574931709
CMP60,Comparison,Emboscada en el océano,Tide of Terror,Justin Somper,Vampiratas,2,2006,young_adult,en,TRUE,15897,3018,8365,1650,72654,31144,0.5261999119330691,9.634545454545455,4.570296282317418,1.959111782097251
CMP61,Comparison,Sangre de capitán,Blood Captain,Justin Somper,Vampiratas,3,2007,young_adult,en,TRUE,116435,11064,58927,12995,531178,228400,0.5060935285781767,8.95998460946518,4.5620131403787525,1.9616094816850604
CMP62,Comparison,Una ola de terror,Tide of Terror,Justin Somper,Vampiratas,4,2006,young_adult,en,TRUE,93232,9804,47333,8866,430620,185199,0.5076904925347521,10.51567787051658,4.618800411875751,1.9864316972713232
CMP63,Comparison,Viaje al centro de la Tierra,Journey to the Centre of the Earth,Jules Verne,,,1864,young_adult,fr,TRUE,70361,11157,36240,4404,339262,144388,0.5150580577308452,15.97661217075386,4.821733630846634,2.05210272736317
PAP01,Papelucho,Papelucho,Papelucho,Marcela Paz,Papelucho,1,1947,children,es,FALSE,20669,3124,8880,1187,82921,36419,0.4296289128646766,17.41280539174389,4.011853500411244,1.7620107407228216
PAP02,Papelucho,Papelucho casi huérfano,Papelucho Almost an Orphan,Marcela Paz,Papelucho,2,1951,children,es,FALSE,17516,2859,7551,901,70651,31103,0.4310915734185887,19.44062153163152,4.033512217401233,1.775690796985613
PAP03,Papelucho,Papelucho historiador,Papelucho the Historian,Marcela Paz,Papelucho,3,1955,children,es,FALSE,13685,2537,6450,1141,59949,25926,0.4713189623675557,11.993865030674847,4.380635732553891,1.8944830105955426
PAP04,Papelucho,Papelucho detective,Papelucho the Detective,Marcela Paz,Papelucho,4,1956,children,es,FALSE,22303,3212,9703,1817,89078,39524,0.43505358023584273,12.274628508530546,3.993991839662826,1.77213827736179
PAP05,Papelucho,Papelucho en la clínica,Papelucho in the Clinic,Marcela Paz,Papelucho,5,1958,children,es,FALSE,25456,3699,11210,1700,103602,45940,0.44036769327467,14.974117647058824,4.069846008799497,1.8046825895663106
PAP06,Papelucho,Papelucho perdido,Papelucho Lost,Marcela Paz,Papelucho,6,1962,children,es,FALSE,16173,3104,7473,1195,67954,29942,0.4620664069745873,13.533891213389122,4.201694181660793,1.8513572002720584
PAP07,Papelucho,"Papelucho, mi hermana Ji","Papelucho, My Sister Ji",Marcela Paz,Papelucho,7,1965,children,es,FALSE,15301,2962,7040,1196,63893,28206,0.46010064701653486,12.793478260869565,4.175740147702765,1.843408927521077
PAP08,Papelucho,Papelucho misionero,Papelucho the Missionary,Marcela Paz,Papelucho,8,1966,children,es,FALSE,21574,3868,10263,1425,92858,40657,0.47571150458885697,15.139649122807018,4.304162417725039,1.884536942616112
PAP09,Papelucho,Diario secreto de Papelucho y el marciano,The Secret Diary of Papelucho and the Martian,Marcela Paz,Papelucho,9,1968,children,es,FALSE,19742,3570,9188,1530,83173,36390,0.46540370783102014,12.90326797385621,4.212997669942255,1.843278289940229
PAP10,Papelucho,"Papelucho, mi hermano hippie","Papelucho, My Hippie Brother",Marcela Paz,Papelucho,10,1971,children,es,FALSE,21244,3916,10224,1567,90341,39502,0.4812652984372058,13.557115507338864,4.252541894181887,1.8594426661645642
PAP11,Papelucho,Papelucho en vacaciones,Papelucho on Holiday,Marcela Paz,Papelucho,11,1971,children,es,FALSE,17051,3365,8346,1368,75345,32787,0.4894727581960002,12.464181286549708,4.41880241628057,1.9228784235528709
PAP12,Papelucho,Papelucho: soy dix leso,Papelucho: I Am Dyslexic,Marcela Paz,Papelucho,12,1974,children,es,FALSE,16411,3112,7675,1401,69516,30660,0.46767412101639144,11.713775874375447,4.235939309000061,1.8682590945097801
