book_id,group,title_es,author,tokens,types,TTR,RTTR,CTTR,Herdan_C,Maas,MATTR,MTLD,Yule_K,Simpson_D,Shannon_H,Hapax_ratio
PAP11,Papelucho,Papelucho en vacaciones,Marcela Paz,8346,3365,0.4031871555236041,36.83374510332784,26.04539093905991,0.8994018904222799,0.011141003377230644,0.9259370856936242,660.6707971364415,10.736807299489966,0.0010738093915104044,7.534480788068406,0.6071322436849925
PAP12,Papelucho,Papelucho: soy dix leso,Marcela Paz,7675,3112,0.4054723127035831,35.52224425812016,25.118019797881665,0.899091148989154,0.011280121746836944,0.9235667453448728,623.5851968410373,10.661121072902631,0.0010662510325062248,7.483166211440737,0.6082904884318766
CMP01,Comparison,Apocalipsis Z,Manel Loureiro,63951,13085,0.20460977936232427,51.742815568502,36.58769576617263,0.8566176650641923,0.01295716498270663,0.9511993364839911,870.7013287319716,6.917649142124955,6.917757314902783e-4,8.333456182366863,0.5085976308750477
CMP02,Comparison,Cell,Stephen King,65033,12668,0.19479341257515415,49.675375695630656,35.12579501236984,0.852398506845269,0.013318248943924192,0.9321039024990767,697.3458501131747,14.380864007726851,0.0014381085142921952,8.165534369100085,0.5145247868645406
CMP03,Comparison,Conan,Robert E. Howard,36118,9103,0.25203499640068666,47.89858632815222,33.86941520188569,0.8686758585731525,0.012513560232198986,0.9475599545315923,731.6796607859607,8.314279409038823,8.314509613081491e-4,8.185977107280147,0.5322421179830825
CMP04,Comparison,Amanecer,Stephenie Meyer,91962,15191,0.16518779495878733,50.093590340670715,35.4215174238692,0.8424488839969552,0.013785048028868882,0.9233895096449903,560.2306326363266,11.198741189439305,0.0011198862966509905,8.121907055289086,0.5297215456520308
CMP05,Comparison,Crepúsculo,Stephenie Meyer,61733,12335,0.19981209401778627,49.64556555936687,35.10471606286963,0.8540077881087956,0.013235232640061836,0.9520786589715323,893.3346205456658,8.57200070499026,8.572139563292356e-4,8.208391492611634,0.5226591001216052
CMP06,Comparison,Eclipse,Stephenie Meyer,78163,14137,0.18086562695904712,50.56577269576773,35.755400769114935,0.8482232216042365,0.013471449193836355,0.9482771334203856,831.5012438316658,9.917130787326098,9.917257666510195e-4,8.205649398927081,0.5247223597651552
CMP07,Comparison,Luna nueva,Stephenie Meyer,70754,12955,0.18309918873844588,48.70369585674752,34.43871360915334,0.8479687760568462,0.01361437353647557,0.9474554840534616,808.0022122011139,9.563226322893705,9.563361486439037e-4,8.157958938725058,0.5204168274797375
CMP08,Comparison,Sol de medianoche,Stephenie Meyer,38176,8925,0.23378562447611065,45.67862408664788,32.29966484693988,0.862241146129979,0.013057757897856528,0.9350790778188685,653.5456274757273,10.560468183185092,0.001056074481627437,7.9621438994018625,0.56
CMP09,Comparison,El exilio,R. A. Salvatore,47537,8822,0.18558175736794497,40.46235612887626,28.61120640151347,0.8436049287380857,0.014522355155806424,0.9241783187331536,502.12819724009194,15.843036028473614,0.0015843369313479263,7.8417261610131455,0.5018136476989344
CMP10,Comparison,El refugio,R. A. Salvatore,50648,9357,0.18474569578265676,41.57722303663773,29.39953635211208,0.8441033141475097,0.014391364400754673,0.9292112492341745,593.5185914627574,13.169467439154877,0.0013169727463784946,7.9576454694785,0.4953510740621994
CMP11,Comparison,La morada,R. A. Salvatore,52324,9439,0.18039522972249827,41.2643983762112,29.1783359134021,0.8423771794756044,0.01450711161607356,0.921364705882353,489.5092992479045,17.2114044859629,0.0017211733431254375,7.840519594807964,0.5049263693187838
CMP12,Comparison,El ocho,Katherine Neville,111747,20006,0.17902941465990138,59.84699215237126,42.31821398455981,0.852012539211797,0.012731207342807442,0.9360831885978262,793.0526262544495,6.671939179930649,6.671998886221523e-4,8.595360814775228,0.5037488753373988
CMP13,Comparison,El perfume,Patrick Süskind,40265,11320,0.281137464299019,56.413438965063065,39.8903252422495,0.8803279199875593,0.011286371325350604,0.9440551024467874,965.0305799866467,7.038481200751097,7.038656009046366e-4,8.379544300495539,0.5643992932862191
CMP14,Comparison,El caso Bourne,Robert Ludlum,97644,16364,0.16758838228667405,52.368084629277156,37.029827759112884,0.8445268142654939,0.01353225310472068,0.9322289051693222,659.1977922295853,8.554241632001988,8.554329239322862e-4,8.355494626236839,0.4931557076509411
CMP15,Comparison,El extraño caso de Benjamin Button,F. Scott Fitzgerald,5026,2521,0.5015917230401911,35.559987820362394,25.144708526689282,0.9190403603526416,0.009499651778643604,0.9215832831022704,562.4571459603992,15.677331833874913,0.001568045170090653,7.309592773195191,0.6917889726299088
CMP16,Comparison,Cerco de oscuridad,R. A. Salvatore,59213,11477,0.19382568017158394,47.16500112720521,33.35069213171796,0.8506859996451661,0.013587715730238474,0.931357582313569,614.0738319448135,9.110566413808591,9.110720277322978e-4,8.1570623120442,0.507449681972641
CMP17,Comparison,El legado,R. A. Salvatore,44778,8486,0.18951270713296708,40.10242926220753,28.35669967336078,0.8446889664176671,0.014502211714977203,0.9307831608128955,571.4287004432867,15.17423873717872,0.0015174577621845785,7.824935148141581,0.5064812632571294
CMP18,Comparison,Luz en las tinieblas,R. A. Salvatore,59027,11048,0.1871685838683992,45.47349243876123,32.15461486768326,0.8474618926503628,0.013885087858657654,0.9355413883142867,544.5895975824492,11.912765654759488,0.001191296747710311,8.041384051652257,0.5133055756698045
CMP19,Comparison,Noche sin estrellas,R. A. Salvatore,56403,10854,0.19243657252273816,45.70236928389818,32.316455236936186,0.8493650043408487,0.013768845799641277,0.9389931504418497,654.9746888591429,11.689824473803395,0.0011690031732845161,8.079731621799077,0.5001842638658559
CMP20,Comparison,La gema del halfling,R. A. Salvatore,56949,9915,0.17410314491913817,41.547956410312835,29.378841722175288,0.8403541998527292,0.014579643083629613,0.9354421792618629,559.4644208374486,12.455297847169511,0.001245551656069496,7.9290117228767105,0.49541099344427636
CMP21,Comparison,La piedra de cristal,R. A. Salvatore,59289,10525,0.177520282008467,43.22500396922035,30.564693423451143,0.8427077119763955,0.014312076902236376,0.9437484807562457,669.9535878447396,8.995121256361138,8.995272975448581e-4,8.07480361599853,0.4894061757719715
CMP22,Comparison,Ríos de plata,R. A. Salvatore,58106,10437,0.17962000481877946,43.297736549311686,30.616123124046922,0.8434906148427997,0.014267004538321014,0.9421465111872814,660.6948722143458,10.665391945391073,0.0010665575499163476,8.048906925083063,0.4911372999904187
CMP23,Comparison,Finis Mundi,Laura Gallego García,31178,7828,0.25107447559176344,44.33295608159154,31.348133875338767,0.866440208486332,0.012907485343664222,0.9428121687172732,661.3133976713085,14.531025187336647,0.0014531491268909194,7.9025015617838115,0.5555697496167603
CMP24,Comparison,Guerra Mundial Z,Max Brooks,61117,14141,0.2313758855964789,57.2004055774066,40.44679467040502,0.8671833710990439,0.012051729276277482,0.9441841881181633,1089.0737338020137,5.994253151085735,5.994351231018175e-4,8.494090694661711,0.5280390354288947
CMP25,Comparison,Harry Potter y el cáliz de fuego,J. K. Rowling,102526,15000,0.14630435206679282,46.8461874756302,33.12525683675443,0.8334124114768892,0.014438329078173877,0.9118957424592835,453.2065595538576,17.19375473306789,0.0017193922436113326,8.088632048984442,0.4854
CMP26,Comparison,Harry Potter y el misterio del príncipe,J. K. Rowling,89354,15293,0.17115070394162543,51.1606070661723,36.176012186110825,0.8451618543911507,0.013581863039781266,0.932045910083422,669.1376238231012,13.924873232979351,0.0013925029074117678,8.242194415066388,0.49924802197083634
CMP27,Comparison,Harry Potter y el prisionero de Azkaban,J. K. Rowling,57591,10453,0.18150405445295273,43.55756973473974,30.79985293144039,0.844315449491969,0.014203341264686652,0.8936265684195892,366.64080001479704,24.53935800621288,0.0024539784110710295,7.843477118488998,0.5215727542332345
CMP28,Comparison,Harry Potter y la cámara secreta,J. K. Rowling,47660,9638,0.20222408728493496,44.1478850371363,31.21726888480319,0.8516151647839991,0.013775244382469971,0.9016618008443427,421.03103070624877,24.249206110776626,0.002424971491721635,7.856558608603023,0.5305042539946047
CMP29,Comparison,Harry Potter y la orden del fénix,J. K. Rowling,132852,17346,0.1305663445036582,47.58995494598051,33.651179858665095,0.827424315791336,0.014628788317804802,0.8985057566470637,353.9672513848034,24.266248070900417,0.0024266430728524906,8.030893512112165,0.49066067104808025
CMP30,Comparison,Harry Potter y la piedra filosofal,J. K. Rowling,40359,7914,0.19609009142942094,39.39361602560036,27.855493027161064,0.8463843884175759,0.01448442808533443,0.898770032250062,375.718876165063,22.665761342657053,0.002266632296021349,7.724248730264228,0.5178165276724791
CMP31,Comparison,Harry Potter y las reliquias de la muerte,J. K. Rowling,104355,15849,0.151875808538163,49.06199842567917,34.69207178536146,0.8369016172305344,0.014114285235556176,0.9000661515157325,365.83303499846124,22.023273483996018,0.0022023484527880144,8.058099969309032,0.513029213199571
CMP32,Comparison,Historias fantásticas,Stephen King,29029,8611,0.29663440008267594,50.540269282146916,35.737367132400244,0.8817391115702075,0.011508398793087385,0.9209813664596274,630.2762707899701,6.454836547454987,6.455058913327505e-4,8.193006520491348,0.5842527000348392
CMP33,Comparison,La expedición,Stephen King,25216,7542,0.2990958121827411,47.49505885334003,33.58407818805091,0.8809113518529814,0.011749965342022831,0.9263400484761791,621.1605458260007,7.693993439827102,7.694298575398778e-4,8.063678669708851,0.5824714929726863
CMP34,Comparison,La historia interminable,Michael Ende,59072,10597,0.17939125135427952,43.60056296197676,30.830253733964792,0.8436095052754679,0.014234771709149519,0.9171221388272368,436.9224427140823,14.747328425036006,0.0014747578079323644,7.933419158046972,0.5140134000188733
CMP35,Comparison,La emperatriz de los Etéreos,Laura Gallego García,33291,7491,0.2250157700279355,41.05597560988247,29.0309587619774,0.8567580215905843,0.01375601609319596,0.9275657301004753,523.8510226304502,18.370000171462237,0.001837055198882996,7.755722210892762,0.5482579094913896
CMP36,Comparison,La torre oscura: el pistolero,Stephen King,31675,9490,0.2996053670086819,53.32218049660377,37.70447541680159,0.8836962077575392,0.011222678391029415,0.9319123505976096,868.7938837607655,11.062670958313426,0.0011063020224934576,8.192912159448964,0.58145416227608
CMP37,Comparison,Las dos espadas,R. A. Salvatore,63378,12164,0.1919277982896273,48.31779939520246,34.16584360435892,0.8507140159756489,0.01350164702856583,0.9363574349823935,665.5326534880242,9.45113403187076,9.451283157484656e-4,8.140846770293814,0.5250739888194673
CMP38,Comparison,Los senderos de la muerte,R. A. Salvatore,67312,11471,0.1704153791300214,44.2135139295722,31.263675519686387,0.8408292269135104,0.014317660340602088,0.9282553558419934,550.954518307941,10.135281254730181,0.0010135431828652047,8.056605765520448,0.49001830703513205
CMP39,Comparison,El alquimista,Paulo Coelho,18459,4671,0.2530472940029254,34.379992877946684,24.310326101141307,0.8601103652785863,0.014240584147985937,0.9032982074959262,350.58930533044315,17.694177717119437,0.001769513633548097,7.438834321213104,0.558766859344894
CMP40,Comparison,El ladrón del rayo,Rick Riordan,45053,10608,0.2354560184671387,49.977169226551915,35.339195264602495,0.8650349177211687,0.012595202051225598,0.9336147897964625,679.6486506649653,9.470774223973754,9.470984442703753e-4,8.161887174685889,0.5559012066365008
CMP41,Comparison,El mar de los monstruos,Rick Riordan,35063,9305,0.2653794598294498,49.69261387483084,35.13798424577761,0.8732339214905974,0.01211345140852156,0.9413320386131262,826.0173360184547,9.25065135647568,9.250915193431829e-4,8.15237919197436,0.5558301988178399
CMP42,Comparison,La batalla del laberinto,Rick Riordan,46111,10647,0.23089935156470257,49.582107620687005,35.059844524108975,0.8635068684492454,0.012710269766212987,0.9472484911640832,911.3808095697842,7.749934866820668,7.750102941747296e-4,8.225845458693767,0.5294449140602987
CMP43,Comparison,La maldición del titán,Rick Riordan,37816,9564,0.2529088216627882,49.181500286011065,34.77657236116655,0.8695765983838345,0.012373564383944794,0.9477602139433897,906.9491749409631,8.759610685908841,8.759842329719126e-4,8.153265745453695,0.5514429109159348
CMP44,Comparison,Peter Pan,J. M. Barrie,23320,6574,0.2819039451114923,43.04923385105651,30.440405180967538,0.8740995827604665,0.012518602266487466,0.9051128013407245,407.91315680036234,16.11478306152891,0.001611547411959579,7.748357587579851,0.5865530879221175
CMP45,Comparison,Hora cero,S. D. Perry,31537,7314,0.23191806449567176,41.1855402261685,29.122574780755073,0.8589262587162771,0.013618580479263093,0.9377458079268293,640.8207436122171,13.627408269490449,0.001362784039177195,7.839367625555048,0.5393765381460214
CMP46,Comparison,La conspiración Umbrella,S. D. Perry,37482,8031,0.21426284616615976,41.48186251315663,29.33210627930109,0.8537212379956843,0.013889488627471967,0.9422669836775038,705.2137227875915,11.330326947807011,0.001133062924302186,7.901031534273993,0.5244676877101233
CMP47,Comparison,El siervo de la piedra,R. A. Salvatore,56819,10871,0.19132684489343355,45.60607559126871,32.24836531389239,0.8489378359124866,0.01379862294504057,0.9272883565263343,569.7164979211628,14.243760887132865,0.0014244011578126688,8.00738743356402,0.5098886946923006
CMP48,Comparison,El estigma de Errtu,R. A. Salvatore,58941,10871,0.18443867596409969,44.77759312877064,31.662539746565873,0.8461040350984781,0.014010549044345719,0.9374797935203423,619.4808416294591,9.94976029763762,9.949929109315558e-4,8.07252693107979,0.503357556802502
CMP49,Comparison,El mar de las espadas,R. A. Salvatore,58252,10560,0.18128132939641559,43.75306661739435,30.93809010286631,0.8443654679802641,0.014184010384062013,0.916146590381939,461.4567290539894,12.471805049136682,0.0012472019153702254,7.940109028731621,0.5162878787878787
CMP50,Comparison,La columna del mundo,R. A. Salvatore,57936,11085,0.19133181441590721,46.05337297962367,32.56465233040522,0.8492083613972368,0.013749461380819167,0.9179477257415309,542.2422272144177,14.04126779401602,0.0014041510156453131,8.003760179290108,0.5158322056833559
CMP51,Comparison,Conflicto,L. J. Smith,26594,6851,0.25761449951116794,42.01091448839232,29.706202518590384,0.8668794360192358,0.013065842479391635,0.9190295724241854,538.005283721935,19.985950019435812,0.001998670156871643,7.702092135341352,0.5667785724711721
CMP52,Comparison,Despertar,L. J. Smith,29221,7223,0.24718524348927143,42.25421888667459,29.878244708508294,0.8640799585935656,0.013218395564686779,0.9245886466474702,598.4428581740128,15.61088844296742,0.0015611422696507563,7.7856309498398755,0.5601550602242835
CMP53,Comparison,El regreso: anochecer,L. J. Smith,61366,10576,0.1723429912329303,42.693084630645636,30.1885696521007,0.8405142259914005,0.01446633998249484,0.8932733173508163,331.43003144975285,21.594057907204114,0.002159440980255011,7.6980103335625145,0.5420763993948563
CMP54,Comparison,Furia,L. J. Smith,27964,7005,0.2505006436847375,41.88981987322918,29.620575695043357,0.8647975420857439,0.01320507595508308,0.9179903277807631,497.7583600749418,19.592977103753622,0.0019593677778827964,7.704169013086069,0.5667380442541042
CMP55,Comparison,Invocación,L. J. Smith,28901,6977,0.2414103318224283,41.040466434058494,29.01999211858165,0.8616327722603779,0.013470813090267712,0.8953459032302786,359.4212966895524,27.219940685825623,0.002722088255228534,7.561323230777385,0.5766088576752185
CMP56,Comparison,Stardust,Neil Gaiman,29752,7882,0.26492336649637,45.69601705536696,32.31196353306611,0.8710455682960342,0.012519055712769277,0.9133191933474734,539.8044841071852,13.58218619082217,0.0013582642719550308,7.935541119960992,0.5772646536412078
CMP57,Comparison,La zona muerta,Stephen King,79691,17362,0.21786650939252863,61.50283193539207,43.48906952369229,0.8649756656996748,0.01196397199257919,0.9300768438763466,855.3409905881122,9.072698113191821,9.072811963086578e-4,8.544646650782287,0.5245363437392006
CMP58,Comparison,El nombre de la rosa,Umberto Eco,93073,19920,0.21402554983722455,65.29463188316106,46.17027697966254,0.8652529416856545,0.011777415996794964,0.9318762899896801,849.8816457881886,6.368181165463973,6.368249587558323e-4,8.632202590005285,0.5483433734939759
CMP59,Comparison,Demonios del océano,Justin Somper,32315,7329,0.22679870029398114,40.77018119231981,28.828871591293577,0.8571076320361074,0.013761766456801132,0.9030936589598959,378.06958128078816,19.43739592053879,0.0019437997436783162,7.672622690906643,0.5479601582753445
CMP60,Comparison,Emboscada en el océano,Justin Somper,8365,3018,0.3607890017931859,32.99789701498923,23.33303674419422,0.8871254165024602,0.01249744661744411,0.9050312650312651,343.30653725593197,29.01366915702399,0.0029017138031863423,7.15416203117537,0.6428098078197482
CMP61,Comparison,Sangre de capitán,Justin Somper,58927,11064,0.18775773414563782,45.57797242733969,32.228493376105384,0.8477244655287353,0.013863326345732185,0.8955589524100682,363.53322831056533,17.709881800018746,0.0017710182344460926,7.88458177584696,0.5313629790310919
CMP62,Comparison,Una ola de terror,Justin Somper,47333,9804,0.20712821921281135,45.06312307377733,31.864439906911926,0.8537461522009376,0.013586098505166986,0.9025480077827595,376.3986716139083,17.07688800927979,0.0017077248798767018,7.86879163725495,0.542125662994696
CMP63,Comparison,Viaje al centro de la Tierra,Jules Verne,36240,11157,0.307864238410596,58.60751920997014,41.441774261890735,0.8877781011189568,0.010689918777706918,0.961903788234644,1236.309858740002,6.786510947375603,6.786698218297741e-4,8.400302195672037,0.5965761405395715
