book_id,group,title_es,author,mean_sentiment,median_sentiment,sd_sentiment,min_sentiment,max_sentiment,sentiment_range,pct_negative_chunks,n_chunks,n_sentences,pct_negative_sentences,pct_neutral_sentences
CMP46,Comparison,La conspiración Umbrella,S. D. Perry,0.0059174594356076644,-0.0017745968335131342,0.039681735362942276,-0.06080757174421258,0.07814857810437073,0.13895614984858332,55.00000000000001,20,4133,27.316719090249215,42.24534236631987
CMP47,Comparison,El siervo de la piedra,R. A. Salvatore,0.012749153777754183,0.01024178048137195,0.03514712163693327,-0.05815889916790039,0.0724353697523156,0.13059426892021597,45,20,6483,27.950023137436368,41.77078513034089
CMP48,Comparison,El estigma de Errtu,R. A. Salvatore,0.006378873508269444,-5.502566649885025e-5,0.04089506502983353,-0.05814855036732262,0.09924986553104154,0.15739841589836415,50,20,6064,28.677440633245382,40.979551451187334
CMP49,Comparison,El mar de las espadas,R. A. Salvatore,0.0027627584150934064,0.012987549853113076,0.042036306381163985,-0.09043922218655177,0.0630130939851835,0.15345231617173527,35,20,6866,26.478298863967375,45.26653073113894
CMP50,Comparison,La columna del mundo,R. A. Salvatore,0.01459803295720219,0.01662914482492689,0.029864274683296353,-0.04309116506918325,0.058453702505705245,0.1015448675748885,30,20,7303,25.852389429001782,44.68026838285636
CMP51,Comparison,Conflicto,L. J. Smith,0.025775258369452304,0.022336939809043603,0.036850433493805075,-0.05295970090042795,0.08006767465533242,0.13302737555576039,20,20,4577,18.724055057898187,56.10662005680577
CMP52,Comparison,Despertar,L. J. Smith,0.02804223890326188,0.03370657991053233,0.03595572191566812,-0.06397681386080842,0.08899546262168109,0.1529722764824895,20,20,4755,20.50473186119874,51.96635120925342
CMP53,Comparison,El regreso: anochecer,L. J. Smith,0.003185467687729023,0.003767183430263406,0.024136060662552136,-0.02858117294613781,0.041797139598961565,0.07037831254509938,50,20,6914,25.759328897888345,47.49783048886317
CMP54,Comparison,Furia,L. J. Smith,0.014371041354894712,0.013296590039256005,0.033838056200192417,-0.07039792083121642,0.06864375044692299,0.1390416712781394,30,20,4780,19.9163179916318,55.60669456066945
CMP55,Comparison,Invocación,L. J. Smith,0.0028928554929121214,-0.003333382672282144,0.030129294394383204,-0.04509166560006574,0.07712701488416829,0.12221868048423404,65,20,5118,19.91012114107073,58.53849159828057
CMP56,Comparison,Stardust,Neil Gaiman,0.058089132787168755,0.06130139137024049,0.03746939097294172,-0.02935391555495101,0.11489740353714697,0.14425131909209798,10,20,3905,17.874519846350832,50.06402048655569
CMP57,Comparison,La zona muerta,Stephen King,0.04028416971682835,0.03955861283626596,0.017822617413224356,0.015849333318236323,0.07192263363378082,0.0560733003155445,0,20,13003,17.495962470199185,55.194955010382216
CMP58,Comparison,El nombre de la rosa,Umberto Eco,0.04544358294446416,0.04139868371040199,0.025099576769661434,-0.002279507402074844,0.10510590877872779,0.10738541618080263,5,20,9363,23.47538182206558,42.550464594681195
CMP59,Comparison,Demonios del océano,Justin Somper,0.04835647388565684,0.051508653276422,0.025986906713347083,-0.0019505125917442137,0.10714014152865765,0.10909065412040186,5,20,5922,18.085106382978726,53.748733535967574
CMP60,Comparison,Emboscada en el océano,Justin Somper,0.029964209632726786,0.028462401089649703,0.038286988192734656,-0.051199675595924435,0.10438460371402651,0.15558427930995095,20,20,1650,15.272727272727273,62.787878787878796
