design,metric,n_focus,n_comparison,median_focus,median_comparison,cliffs_delta,delta_lower,delta_upper,delta_magnitude,p_adjusted,significant,higher_in
audience-matched,trust,12,30,26.76835463903219,25.842237251293334,0.2,-0.2611111111111111,0.6277777777777778,small,1,FALSE,Papelucho
audience-matched,anger,12,30,14.288217391985299,13.919454308361118,0.17222222222222222,-0.24458333333333307,0.5723611111111103,small,1,FALSE,Papelucho
audience-matched,emotion_density,12,30,136.99006179906286,138.18446191127646,0.011111111111111112,-0.4111111111111111,0.4444444444444444,negligible,1,FALSE,Comparison
audience-matched,valence_ratio,12,30,1.014574898785425,1.177336548684839,-0.65,-0.9,-0.3277777777777778,large,0.016522475054886354,TRUE,Comparison
original Spanish only,TTR,12,3,0.47469333333333336,0.5008666666666667,-0.6111111111111112,-1,0.16666666666666666,large,1,FALSE,Comparison
original Spanish only,MTLD,12,3,676.1192997834244,944.5256570390301,-0.8333333333333334,-1,-0.4416666666666818,large,0.7635296166286047,FALSE,Comparison
original Spanish only,MATTR,12,3,0.929219282299872,0.948211135797482,-0.9444444444444444,-1,-0.7777777777777778,large,0.4482145345233652,FALSE,Comparison
original Spanish only,Hapax_ratio,12,3,0.6546978470227658,0.6881747207364034,-0.9444444444444444,-1,-0.7777777777777778,large,0.4482145345233652,FALSE,Comparison
original Spanish only,Shannon_H,12,3,7.294622352034489,7.329998668228615,-0.4444444444444444,-1,0.3333333333333333,medium,1,FALSE,Comparison
original Spanish only,words_per_sentence,12,3,13.218579593622666,12.684993409903973,0.2222222222222222,-0.6111111111111112,1,small,1,FALSE,Papelucho
original Spanish only,letters_per_word,12,3,4.2073459258015244,4.641919257904363,-1,-1,-1,large,0.3923596086688051,FALSE,Comparison
original Spanish only,syllables_per_word,12,3,1.8473830638965678,1.9935981186307814,-1,-1,-1,large,0.3923596086688051,FALSE,Comparison
original Spanish only,Fernandez_Huerta,12,3,82.37520094178493,75.56522917858769,1,1,1,large,0.3923596086688051,FALSE,Papelucho
original Spanish only,Szigriszt_Pazos,12,3,78.34511887366347,71.20355906855191,1,1,1,large,0.3923596086688051,FALSE,Papelucho
original Spanish only,Gutierrez_Polini,12,3,49.76224166195729,46.172785849065036,1,1,1,large,0.3923596086688051,FALSE,Papelucho
original Spanish only,Mu_index,12,3,70.26037881954466,66.48706209489241,0.9444444444444444,0.6666666666666666,1,large,0.4482145345233652,FALSE,Papelucho
original Spanish only,CCONJ,12,3,0.06639639589150406,0.0400390625,1,1,1,large,0.3923596086688051,FALSE,Papelucho
original Spanish only,SCONJ,12,3,0.04454467183498395,0.03408203125,0.8888888888888888,0.5555555555555556,1,large,0.5559655590911535,FALSE,Papelucho
original Spanish only,PRON,12,3,0.11201240332943316,0.09130859375,1,1,1,large,0.3923596086688051,FALSE,Papelucho
original Spanish only,VERB,12,3,0.1684669847001039,0.166357421875,0.5555555555555556,0,1,large,1,FALSE,Papelucho
original Spanish only,NOUN,12,3,0.1725376954962821,0.182421875,-0.5555555555555556,-1,0.3333333333333333,large,1,FALSE,Comparison
original Spanish only,ADJ,12,3,0.046350625337377924,0.052572378716744916,-0.6111111111111112,-1,0,large,1,FALSE,Comparison
original Spanish only,ADV,12,3,0.06069050162006143,0.066410804508356,-0.8333333333333334,-1,-0.3333333333333333,large,0.7635296166286047,FALSE,Comparison
original Spanish only,DET,12,3,0.1311450334258501,0.14521484375,-0.6666666666666666,-1,0,large,1,FALSE,Comparison
original Spanish only,ADP,12,3,0.12413153346505296,0.1449530516431925,-1,-1,-1,large,0.3923596086688051,FALSE,Comparison
original Spanish only,PROPN,12,3,0.028093500241919953,0.04494327073552426,-0.3333333333333333,-1,0.5,medium,1,FALSE,Comparison
original Spanish only,lexical_density,12,3,0.47871970725868296,0.496919014084507,-0.9444444444444444,-1,-0.7777777777777778,large,0.4482145345233652,FALSE,Comparison
original Spanish only,mean_sentiment,12,3,0.014096618667614384,0.03440327180968167,-0.2777777777777778,-1,0.8333333333333334,small,1,FALSE,Comparison
original Spanish only,sd_sentiment,12,3,0.04508877066506377,0.03518412108185877,0.7777777777777778,0.3333333333333333,1,large,0.9756183187019519,FALSE,Papelucho
original Spanish only,sentiment_range,12,3,0.17714494725135493,0.14283284757211628,0.6111111111111112,0,1,large,1,FALSE,Papelucho
original Spanish only,pct_negative_chunks,12,3,37.5,5,0.3888888888888889,-0.8333333333333334,1,medium,1,FALSE,Papelucho
original Spanish only,joy,12,3,13.311128870376965,12.720795606352976,0.16666666666666666,-0.8333333333333334,0.9444444444444444,small,1,FALSE,Papelucho
original Spanish only,fear,12,3,23.106396196264825,18.34008361640972,0.3333333333333333,-1,1,medium,1,FALSE,Papelucho
original Spanish only,sadness,12,3,20.795905835275857,19.515939378102953,-0.2222222222222222,-1,0.6666666666666666,small,1,FALSE,Papelucho
original Spanish only,trust,12,3,26.76835463903219,25.367960625669998,0.3333333333333333,-0.3333333333333333,0.8888888888888888,medium,1,FALSE,Papelucho
original Spanish only,anger,12,3,14.288217391985299,13.86529918996603,0.05555555555555555,-1,0.9444444444444444,negligible,1,FALSE,Papelucho
original Spanish only,emotion_density,12,3,136.99006179906286,142.13156519466946,0,-0.8333333333333334,1,negligible,1,FALSE,Comparison
original Spanish only,valence_ratio,12,3,1.014574898785425,1.2693345323741005,-0.3888888888888889,-1,0.6666666666666666,medium,1,FALSE,Comparison
