"id_libro","cluster_arco","nivel","etapa"
"L0578",3,7,"Basica superior"
"L0581",1,7,"Basica superior"
"L0582",3,7,"Basica superior"
"L0583",4,7,"Basica superior"
"L0584",4,7,"Basica superior"
"L0586",1,7,"Basica superior"
"L0587",2,7,"Basica superior"
"L0588",5,7,"Basica superior"
"L0590",2,7,"Basica superior"
"L0591",2,7,"Basica superior"
"L0592",5,7,"Basica superior"
"L0593",4,7,"Basica superior"
"L0594",3,7,"Basica superior"
"L0595",2,7,"Basica superior"
"L0596",4,7,"Basica superior"
"L0597",4,7,"Basica superior"
"L0598",1,7,"Basica superior"
"L0599",2,7,"Basica superior"
"L0600",3,7,"Basica superior"
"L0601",3,7,"Basica superior"
"L0602",2,7,"Basica superior"
"L0603",3,7,"Basica superior"
"L0605",1,7,"Basica superior"
"L0606",4,7,"Basica superior"
"L0607",3,7,"Basica superior"
"L0608",3,7,"Basica superior"
"L0609",1,7,"Basica superior"
"L0610",1,7,"Basica superior"
"L0612",1,7,"Basica superior"
"L0613",3,7,"Basica superior"
"L0614",5,7,"Basica superior"
"L0616",4,7,"Basica superior"
"L0617",5,7,"Basica superior"
"L0618",5,7,"Basica superior"
"L0619",4,7,"Basica superior"
"L0621",1,7,"Basica superior"
"L0622",2,7,"Basica superior"
"L0623",4,7,"Basica superior"
"L0624",5,7,"Basica superior"
"L0625",1,7,"Basica superior"
"L0626",2,7,"Basica superior"
"L0627",3,7,"Basica superior"
"L0628",3,7,"Basica superior"
"L0632",3,7,"Basica superior"
"L0633",4,7,"Basica superior"
"L0634",5,7,"Basica superior"
"L0635",4,7,"Basica superior"
"L0636",1,7,"Basica superior"
"L0637",1,7,"Basica superior"
"L0638",4,7,"Basica superior"
"L0639",2,7,"Basica superior"
"L0640",4,7,"Basica superior"
"L0643",5,7,"Basica superior"
"L0646",1,7,"Basica superior"
"L0647",2,7,"Basica superior"
"L0648",2,7,"Basica superior"
"L0649",2,7,"Basica superior"
"L0651",5,7,"Basica superior"
"L0652",3,7,"Basica superior"
"L0653",3,7,"Basica superior"
"L0654",5,7,"Basica superior"
"L0655",1,7,"Basica superior"
"L0656",2,7,"Basica superior"
"L0657",2,7,"Basica superior"
"L0658",1,7,"Basica superior"
"L0659",1,10,"Media"
"L0660",5,7,"Basica superior"
"L0661",5,11,"Media"
"L0664",5,7,"Basica superior"
"L0665",5,8,"Basica superior"
"L0666",5,7,"Basica superior"
"L0667",5,8,"Basica superior"
"L0668",5,10,"Media"
"L0669",2,7,"Basica superior"
"L0670",2,8,"Basica superior"
"L0671",2,10,"Media"
"L0672",2,8,"Basica superior"
"L0673",5,8,"Basica superior"
"L0674",2,8,"Basica superior"
"L0675",5,8,"Basica superior"
"L0676",4,8,"Basica superior"
"L0677",4,8,"Basica superior"
"L0678",5,8,"Basica superior"
"L0679",2,8,"Basica superior"
"L0680",4,8,"Basica superior"
"L0681",4,8,"Basica superior"
"L0682",3,8,"Basica superior"
"L0683",1,8,"Basica superior"
"L0684",4,8,"Basica superior"
"L0685",4,8,"Basica superior"
"L0686",4,8,"Basica superior"
"L0687",5,8,"Basica superior"
"L0688",5,8,"Basica superior"
"L0689",5,8,"Basica superior"
"L0690",4,8,"Basica superior"
"L0691",3,8,"Basica superior"
"L0693",5,8,"Basica superior"
"L0694",2,8,"Basica superior"
"L0695",4,8,"Basica superior"
"L0696",4,8,"Basica superior"
"L0697",2,8,"Basica superior"
"L0698",2,8,"Basica superior"
"L0699",1,8,"Basica superior"
"L0700",3,8,"Basica superior"
"L0702",5,8,"Basica superior"
"L0703",1,8,"Basica superior"
"L0704",1,8,"Basica superior"
"L0705",2,8,"Basica superior"
"L0706",5,8,"Basica superior"
"L0707",5,8,"Basica superior"
"L0709",3,8,"Basica superior"
"L0710",2,8,"Basica superior"
"L0712",4,8,"Basica superior"
"L0713",5,8,"Basica superior"
"L0714",3,8,"Basica superior"
"L0715",3,11,"Media"
"L0716",2,8,"Basica superior"
"L0717",2,11,"Media"
"L0718",4,8,"Basica superior"
"L0719",4,12,"Media"
"L0720",3,8,"Basica superior"
"L0721",3,12,"Media"
