"doc_id","n_oraciones_af","polaridad_media","polaridad_sd","prop_oraciones_negativas","n_anger","n_anticipation","n_disgust","n_fear","n_joy","n_sadness","n_surprise","n_trust","prop_ira","prop_anticipacion","prop_asco","prop_miedo","prop_alegria","prop_tristeza","prop_sorpresa","prop_confianza"
"L0445",6426,0.0018350012450319,0.24346879837514,0.292094615624027,2895,3677,2191,4232,2694,4250,2256,4373,0.108965672990063,0.138399578440229,0.0824676302318579,0.159289370671484,0.101400180668473,0.159966877446552,0.0849141824751581,0.164596507076182
"L0447",7642,0.00340388999413387,0.199598002596359,0.283433656110966,2888,4573,2354,3995,3244,4370,2440,5221,0.0992951693312704,0.157228812102458,0.0809351899604607,0.137356025442668,0.111535155578477,0.150249269382843,0.0838920405707409,0.179508337631081
"L0448",4867,0.0204590781005002,0.23432760535233,0.226628313129238,1668,2862,1430,2329,2464,2600,1459,3177,0.0927233309244538,0.159097226082606,0.0794930235143699,0.12946800822725,0.136972594363222,0.144532770026127,0.0811051197954305,0.176607927066541
"L0449",366,0.0045068773458714,0.180374539605303,0.39344262295082,208,229,143,291,157,384,141,302,0.112129380053908,0.123450134770889,0.077088948787062,0.156873315363881,0.0846361185983827,0.207008086253369,0.076010781671159,0.162803234501348
"L0450",2055,-0.0163144882062617,0.183861782444178,0.284184914841849,606,855,492,833,602,1005,490,776,0.107086057607351,0.151086764446015,0.0869411556812158,0.147199151793603,0.106379218943276,0.177593214348825,0.0865877363491783,0.137126700830535
"L0451",4034,-0.0208858141032106,0.214768663987103,0.233763014377789,1692,1795,1685,2493,1900,2817,1187,1655,0.111140304781923,0.117905937992643,0.110680504466632,0.163754598003153,0.124802942722018,0.185036784025223,0.0779689963215975,0.10870993168681
"L0452",3123,0.0307500565237543,0.171677615444127,0.217419148254883,1089,2290,963,1809,1790,2199,1055,3132,0.0760103301458784,0.159838067983528,0.0672157464926363,0.126265093878691,0.124938926502408,0.153486424233964,0.0736371885251623,0.218608222237733
"L0453",5686,0.0107215556462293,0.175737706582999,0.278051354203306,2365,3819,1715,3349,2377,3708,2136,4156,0.10010582010582,0.161650793650794,0.0725925925925926,0.141756613756614,0.100613756613757,0.156952380952381,0.0904126984126984,0.175915343915344
"L0454",4103,0.0481272832702419,0.222125445630678,0.223251279551548,1325,2674,1526,2000,1615,2446,1258,4639,0.0757879082537322,0.15294857861923,0.0872847909397701,0.114396842647143,0.0923754504375679,0.139907338557456,0.0719556140250529,0.265343476520048
"L0455",14851,0.0109975813471511,0.206951375869549,0.237223082620699,5204,8733,4202,8115,5699,9322,4342,9698,0.094079363644581,0.157877610051523,0.0759649281388412,0.146705233661755,0.103028111723764,0.168525716351803,0.0784958871915394,0.175323149236193
"L0456",2368,0.0122139711971042,0.121127499217743,0.274915540540541,996,2264,886,1674,1416,2061,854,2477,0.0788723471650301,0.179284130503643,0.0701615457713019,0.132562559391828,0.112131770668356,0.163208742477035,0.0676274944567627,0.196151409566044
