"doc_id","prop_ADJ","prop_ADP","prop_ADV","prop_AUX","prop_CCONJ","prop_DET","prop_NOUN","prop_NUM","prop_PRON","prop_PROPN","prop_SCONJ","prop_VERB","n_palabras_anot","razon_sust_verbo","nominalizaciones_x1000","dist_dependencia_media","profundidad_arbol_media","subordinadas_por_oracion"
"L0077",0.0420988716288013,0.122349845671204,0.0602978630100019,0.0361449847357857,0.0522693922987401,0.134780482045573,0.16557877515222,0.00392990268009243,0.111976926579973,0.0316078867918164,0.0737067584206176,0.165258310985174,59357,1.00193917125944,7.88449551021783,2.8673342770758,6.54189189189189,2.96891891891892
"L0078",0.0445752733389403,0.115222876366695,0.063358564620129,0.0473787496495655,0.0339220633585646,0.172413793103448,0.15363050182226,0.00308382394168769,0.106532099803757,0.0972806279786936,0.0274740678441267,0.135127558172133,3594,1.13692946058091,7.23427935447969,2.20089858793325,3.55857740585774,0.384937238493724
"L0079",0.0972638100154879,0.129994837377388,0.05018069179143,0.0164171399070728,0.059370160041301,0.146928239545689,0.235828600929272,0.00516262261228704,0.0579246257098606,0.0302529685080021,0.036241610738255,0.134434692823955,9721,1.7542242703533,9.77265713403971,2.865319125563,4.84887459807074,1.03054662379421
"L0080",0.0435428823076076,0.110508642518992,0.0697181547946714,0.0301662446328306,0.0479742375867004,0.145684245293405,0.196108114059232,0.00806451612903226,0.102884509523285,0.014477595508092,0.0544698888032588,0.176400968842893,37007,1.11171789670775,8.80914421595914,2.49098289359235,4.61784975878704,1.18711233631978
"L0081",0.0367182763261021,0.127589725389291,0.0792333969211659,0.0444819070434615,0.0455170578057761,0.118051550507963,0.153749463939784,0.00532363249190364,0.125770817621224,0.0332727030743978,0.0544785058338139,0.175812963045118,67893,0.874505845739759,5.5675842870399,2.30433503815422,4.00132723787052,0.895148208228875
"L0082",0.0518515933822173,0.11633459780371,0.0663024460273863,0.0280941723036125,0.0627532887030123,0.129384729650916,0.17664036368893,0.00820493392685346,0.0895663747252145,0.0605300806037555,0.0601761618256227,0.150161257358769,203793,1.17633780374452,7.41929310624016,2.86138094923086,7.05861051502146,2.62271995708155
"L0083",0.0446463654223969,0.144007858546169,0.0674361493123772,0.0275049115913556,0.0641453831041257,0.126080550098232,0.173084479371316,0.00589390962671906,0.103634577603143,0.0339390962671906,0.0528487229862475,0.156777996070727,20420,1.10401002506266,6.07247796278159,2.94582865311958,6.37889688249401,2.25779376498801
"L0084",0.039147455415398,0.150065245759026,0.0526315789473684,0.0347977381470204,0.0434971726837756,0.15311004784689,0.194432361896477,0.0108742931709439,0.0930839495432797,0.0513266637668552,0.0413223140495868,0.13571117877338,2308,1.43269230769231,9.96533795493934,2.60802613159123,4.59302325581395,0.930232558139535
"L0085",0.0644306262169462,0.13967715595754,0.0604987123924377,0.0414295584448213,0.0365052446454368,0.144262295081967,0.185214496576848,0.00403241002449595,0.0924690660134414,0.0440675836944916,0.0385905407951762,0.148822310156397,79771,1.24453448130328,14.9051660377832,2.40394102170577,4.29899941141848,0.868893466745144
"L0086",0.0671062271062271,0.135824175824176,0.0662271062271062,0.0313553113553114,0.0605128205128205,0.149304029304029,0.202344322344322,0.00527472527472527,0.072967032967033,0.0317948717948718,0.0446886446886447,0.132600732600733,6840,1.52596685082873,5.70175438596491,2.80070465686275,6.04166666666667,1.64102564102564
