"id_libro","titulo","titulo_norm","nivel","etapa","n_palabras","n_oraciones","long_oracion_media","letras_por_palabra","silabas_por_palabra","ari","rix","flesch_kincaid","fernandez_huerta","szigriszt_pazos","perfil_mu","tokens","tipos","ttr","mtld","hdd","yule_k","entropia_shannon","hapax_ratio","maas","mattr_50","mattr_100","zipf_pendiente","inflesz","prop_ADJ","prop_ADP","prop_ADV","prop_AUX","prop_CCONJ","prop_DET","prop_NOUN","prop_NUM","prop_PRON","prop_PROPN","prop_SCONJ","prop_VERB","n_palabras_anot","razon_sust_verbo","nominalizaciones_x1000","dist_dependencia_media","profundidad_arbol_media","subordinadas_por_oracion","n_oraciones_af","polaridad_media","polaridad_sd","prop_oraciones_negativas","n_anger","n_anticipation","n_disgust","n_fear","n_joy","n_sadness","n_surprise","n_trust","prop_ira","prop_anticipacion","prop_asco","prop_miedo","prop_alegria","prop_tristeza","prop_sorpresa","prop_confianza","titulo_duplicado","contenido_duplicado"
"L0658","Sub-Terra","sub terra",7,"Basica superior",49582,2127,23.3107663375646,4.6581017304667,2.01772820781735,12.1650423192805,6.13446168312177,17.310391723895,61.9993258666429,57.8197663154143,55.8411601419004,49582,9104,0.183615021580412,88.3506281926598,0.819808968670657,143.834231839426,9.57185689818406,0.578207381370826,0.0333888018928873,0.797262834877652,0.71282824404335,-0.896549310307505,"normal",0.0735252439370015,0.162476213611887,0.0427547673994899,0.0186444795335844,0.0455888902384712,0.184805052836147,0.235535851653913,0.00402850317826633,0.0560751447427021,0.0160937689785012,0.0292724401797644,0.131199643710272,49582,1.79524764696806,13.7953289500222,2.70077329905813,6.06911142454161,1.68406205923836,2127,-0.0304011532112995,0.191286625361038,0.466854724964739,1959,1755,1515,2606,1182,2488,1261,1841,0.134113781063873,0.120147874306839,0.103717395769152,0.178407612788389,0.0809201067981105,0.170329294174026,0.0863284726500993,0.12603546244951,TRUE,TRUE
"L0659","Sub-Terra","sub terra",10,"Media",49582,2127,23.3107663375646,4.6581017304667,2.01772820781735,12.1650423192805,6.13446168312177,17.310391723895,61.9993258666429,57.8197663154143,55.8411601419004,49582,9104,0.183615021580412,88.3506281926598,0.819808968670657,143.834231839426,9.57185689818406,0.578207381370826,0.0333888018928873,0.797262834877652,0.71282824404335,-0.896549310307505,"normal",0.0735252439370015,0.162476213611887,0.0427547673994899,0.0186444795335844,0.0455888902384712,0.184805052836147,0.235535851653913,0.00402850317826633,0.0560751447427021,0.0160937689785012,0.0292724401797644,0.131199643710272,49582,1.79524764696806,13.7953289500222,2.70077329905813,6.06911142454161,1.68406205923836,2127,-0.0304011532112995,0.191286625361038,0.466854724964739,1959,1755,1515,2606,1182,2488,1261,1841,0.134113781063873,0.120147874306839,0.103717395769152,0.178407612788389,0.0809201067981105,0.170329294174026,0.0863284726500993,0.12603546244951,TRUE,TRUE
"L0660","La Odisea","la odisea",7,"Basica superior",121628,5842,20.8195823348168,4.398164896241,1.89994902489558,9.69514782870352,4.61143444026018,14.9490356043465,71.6070845247518,67.6485934141883,62.7282457286391,121628,12042,0.099006807642977,95.7854285056157,0.835550933016782,121.478252308457,9.49719004219905,0.503404750041521,0.0388410466988402,0.808814515664885,0.720974746768245,-1.03162932966994,"bastante facil",0.0591281865489757,0.150023055134708,0.0581154074171662,0.0208648969106119,0.0570532244252684,0.152509716092484,0.194774718397998,0.00275838218826164,0.081961003886437,0.0361718595612937,0.0418368355180818,0.144802713918714,121628,1.34510406004777,7.77781431907127,2.66796503895117,5.73536460116398,1.59722697706265,5842,0.0176921085251174,0.171084126367665,0.28483396097227,3275,4245,2308,4233,3852,4585,2048,5427,0.109265005171321,0.141627464718246,0.0770026357054683,0.141227104393955,0.128515664097688,0.152971007239849,0.0683281620124779,0.181062956660995,TRUE,TRUE
"L0661","La Odisea","la odisea",11,"Media",121628,5842,20.8195823348168,4.398164896241,1.89994902489558,9.69514782870352,4.61143444026018,14.9490356043465,71.6070845247518,67.6485934141883,62.7282457286391,121628,12042,0.099006807642977,95.7854285056157,0.835550933016782,121.478252308457,9.49719004219905,0.503404750041521,0.0388410466988402,0.808814515664885,0.720974746768245,-1.03162932966994,"bastante facil",0.0591281865489757,0.150023055134708,0.0581154074171662,0.0208648969106119,0.0570532244252684,0.152509716092484,0.194774718397998,0.00275838218826164,0.081961003886437,0.0361718595612937,0.0418368355180818,0.144802713918714,121628,1.34510406004777,7.77781431907127,2.66796503895117,5.73536460116398,1.59722697706265,5842,0.0176921085251174,0.171084126367665,0.28483396097227,3275,4245,2308,4233,3852,4585,2048,5427,0.109265005171321,0.141627464718246,0.0770026357054683,0.141227104393955,0.128515664097688,0.152971007239849,0.0683281620124779,0.181062956660995,TRUE,TRUE
"L0662","La Araucana","la araucana",7,"Basica superior",155,10,15.5,4.5741935483871,1.93548387096774,7.86445161290323,3.6,13.2937096774194,74.9009677419355,70.7543548387097,74.9553248666567,155,113,0.729032258064516,160.166666666667,0.855307933735608,109.053069719043,6.46473977048161,0.858407079646018,0.028609013006061,0.810943396226415,0.749107142857143,NA,"bastante facil",0.150326797385621,0.124183006535948,0.0457516339869281,0.0326797385620915,0.065359477124183,0.104575163398693,0.150326797385621,0.0196078431372549,0.0261437908496732,0.137254901960784,0.0261437908496732,0.117647058823529,155,1.27777777777778,0,3.63448275862069,4.5,1,10,0.0457756809740394,0.0609531707982706,0,3,1,2,8,1,2,1,5,0.130434782608696,0.0434782608695652,0.0869565217391304,0.347826086956522,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.217391304347826,TRUE,TRUE
"L0663","La Araucana","la araucana",8,"Basica superior",155,10,15.5,4.5741935483871,1.93548387096774,7.86445161290323,3.6,13.2937096774194,74.9009677419355,70.7543548387097,74.9553248666567,155,113,0.729032258064516,160.166666666667,0.855307933735608,109.053069719043,6.46473977048161,0.858407079646018,0.028609013006061,0.810943396226415,0.749107142857143,NA,"bastante facil",0.150326797385621,0.124183006535948,0.0457516339869281,0.0326797385620915,0.065359477124183,0.104575163398693,0.150326797385621,0.0196078431372549,0.0261437908496732,0.137254901960784,0.0261437908496732,0.117647058823529,155,1.27777777777778,0,3.63448275862069,4.5,1,10,0.0457756809740394,0.0609531707982706,0,3,1,2,8,1,2,1,5,0.130434782608696,0.0434782608695652,0.0869565217391304,0.347826086956522,0.0434782608695652,0.0869565217391304,0.0434782608695652,0.217391304347826,TRUE,TRUE
"L0664","La Ilíada","la iliada",7,"Basica superior",153894,7456,20.6402896995708,4.42657933382718,1.91383679675621,9.73933351211142,4.76649678111588,15.0429871845559,70.9566967010652,66.9626778625174,64.5037450688449,153894,13732,0.089230249392439,85.6500835791117,0.822071997921199,137.265787278828,9.44820206043961,0.495266530731139,0.0390038803059103,0.796295102213543,0.707395494001713,-1.05254622802148,"bastante facil",0.0609718776655663,0.159136340254853,0.0455921708046022,0.0188567447372362,0.0553070406761341,0.157658273592093,0.20275558507348,0.00330123259039322,0.0665846241999232,0.0527285631499098,0.0374986163472871,0.139608930908523,153894,1.45231099295742,6.00413271472572,2.72944548711824,5.72813713673497,1.47462166867551,7467,-0.00820601673139532,0.182930981204741,0.36373376188563,6579,5472,3400,7976,4270,6272,2908,6968,0.150051317139925,0.124803284296955,0.0775459003307105,0.181913559128749,0.0973885277682746,0.143049378492416,0.0663245524005018,0.158923480442468,TRUE,TRUE
"L0665","La Ilíada","la iliada",8,"Basica superior",153894,7456,20.6402896995708,4.42657933382718,1.91383679675621,9.73933351211142,4.76649678111588,15.0429871845559,70.9566967010652,66.9626778625174,64.5037450688449,153894,13732,0.089230249392439,85.6500835791117,0.822071997921199,137.265787278828,9.44820206043961,0.495266530731139,0.0390038803059103,0.796295102213543,0.707395494001713,-1.05254622802148,"bastante facil",0.0609718776655663,0.159136340254853,0.0455921708046022,0.0188567447372362,0.0553070406761341,0.157658273592093,0.20275558507348,0.00330123259039322,0.0665846241999232,0.0527285631499098,0.0374986163472871,0.139608930908523,153894,1.45231099295742,6.00413271472572,2.72944548711824,5.72813713673497,1.47462166867551,7467,-0.00820601673139532,0.182930981204741,0.36373376188563,6579,5472,3400,7976,4270,6272,2908,6968,0.150051317139925,0.124803284296955,0.0775459003307105,0.181913559128749,0.0973885277682746,0.143049378492416,0.0663245524005018,0.158923480442468,TRUE,TRUE
"L0666","Don Quijote de la Mancha: primera parte","don quijote de la mancha primera parte",7,"Basica superior",191482,7051,27.1567153595235,4.21567040243992,1.81405040682675,12.0041652752537,5.21032477662743,16.4069137907698,70.297125923681,66.6629442951699,68.4860635616052,191482,14580,0.0761429272725374,76.3544628217733,0.828859315276313,130.311626533206,9.34283853692536,0.507887517146776,0.0400837035261862,0.784593042996862,0.692557437180836,-1.11435308256304,"bastante facil",0.0490008642589634,0.141083728360789,0.0616138071916822,0.033931330696907,0.0595657753450488,0.12620276039075,0.171929916454967,0.00477175706466228,0.0988712254144515,0.0355917554932823,0.0670979231595212,0.150339156168976,191482,1.14361368545746,8.40810102255042,2.91565997223909,6.89419940433981,2.73890228336406,7051,0.0089295211710427,0.156985297339883,0.302368458374699,5499,6063,4840,7215,4652,7183,2948,9571,0.114631756686331,0.126388859936211,0.10089429030039,0.150403368701924,0.0969752558837631,0.149736299013988,0.0614537950011465,0.199516374476246,TRUE,TRUE
"L0667","Don Quijote de la Mancha: primera parte","don quijote de la mancha primera parte",8,"Basica superior",191482,7051,27.1567153595235,4.21567040243992,1.81405040682675,12.0041652752537,5.21032477662743,16.4069137907698,70.297125923681,66.6629442951699,68.4860635616052,191482,14580,0.0761429272725374,76.3544628217733,0.828859315276313,130.311626533206,9.34283853692536,0.507887517146776,0.0400837035261862,0.784593042996862,0.692557437180836,-1.11435308256304,"bastante facil",0.0490008642589634,0.141083728360789,0.0616138071916822,0.033931330696907,0.0595657753450488,0.12620276039075,0.171929916454967,0.00477175706466228,0.0988712254144515,0.0355917554932823,0.0670979231595212,0.150339156168976,191482,1.14361368545746,8.40810102255042,2.91565997223909,6.89419940433981,2.73890228336406,7051,0.0089295211710427,0.156985297339883,0.302368458374699,5499,6063,4840,7215,4652,7183,2948,9571,0.114631756686331,0.126388859936211,0.10089429030039,0.150403368701924,0.0969752558837631,0.149736299013988,0.0614537950011465,0.199516374476246,TRUE,TRUE
"L0668","Don Quijote de la Mancha: primera parte","don quijote de la mancha primera parte",10,"Media",191482,7051,27.1567153595235,4.21567040243992,1.81405040682675,12.0041652752537,5.21032477662743,16.4069137907698,70.297125923681,66.6629442951699,68.4860635616052,191482,14580,0.0761429272725374,76.3544628217733,0.828859315276313,130.311626533206,9.34283853692536,0.507887517146776,0.0400837035261862,0.784593042996862,0.692557437180836,-1.11435308256304,"bastante facil",0.0490008642589634,0.141083728360789,0.0616138071916822,0.033931330696907,0.0595657753450488,0.12620276039075,0.171929916454967,0.00477175706466228,0.0988712254144515,0.0355917554932823,0.0670979231595212,0.150339156168976,191482,1.14361368545746,8.40810102255042,2.91565997223909,6.89419940433981,2.73890228336406,7051,0.0089295211710427,0.156985297339883,0.302368458374699,5499,6063,4840,7215,4652,7183,2948,9571,0.114631756686331,0.126388859936211,0.10089429030039,0.150403368701924,0.0969752558837631,0.149736299013988,0.0614537950011465,0.199516374476246,TRUE,TRUE
"L0669","Sub-Sole","sub sole",7,"Basica superior",44978,2219,20.2694907616043,4.57623727155498,1.98594868602428,10.2588229298261,5.14240648940964,15.7492958921122,67.0081982617069,62.8409060990831,58.289118391305,44978,8933,0.198608208457468,89.8592333797907,0.824113322090147,139.168763849254,9.62110318586374,0.592298220082839,0.0324244573783669,0.796668076298051,0.712837184429203,-0.915015151177756,"normal",0.0672706631346972,0.159005409255838,0.0450548716693008,0.0210137346125593,0.0433408276384035,0.188166418093182,0.234490127551588,0.00356164993433208,0.0587672239164793,0.0158270818956882,0.0301627228813748,0.133339269416557,44978,1.75859766277129,11.983636444484,2.70701307204827,5.58198198198198,1.4,2220,-0.0264536292202272,0.235319844267051,0.408558558558559,1866,1677,1348,2463,1269,2122,1156,1854,0.135659760087241,0.121919302071974,0.0980007270083606,0.179062159214831,0.092257360959651,0.154271174118502,0.0840421664849146,0.134787350054526,TRUE,TRUE
"L0670","Sub-Sole","sub sole",8,"Basica superior",44978,2219,20.2694907616043,4.57623727155498,1.98594868602428,10.2588229298261,5.14240648940964,15.7492958921122,67.0081982617069,62.8409060990831,58.289118391305,44978,8933,0.198608208457468,89.8592333797907,0.824113322090147,139.168763849254,9.62110318586374,0.592298220082839,0.0324244573783669,0.796668076298051,0.712837184429203,-0.915015151177756,"normal",0.0672706631346972,0.159005409255838,0.0450548716693008,0.0210137346125593,0.0433408276384035,0.188166418093182,0.234490127551588,0.00356164993433208,0.0587672239164793,0.0158270818956882,0.0301627228813748,0.133339269416557,44978,1.75859766277129,11.983636444484,2.70701307204827,5.58198198198198,1.4,2220,-0.0264536292202272,0.235319844267051,0.408558558558559,1866,1677,1348,2463,1269,2122,1156,1854,0.135659760087241,0.121919302071974,0.0980007270083606,0.179062159214831,0.092257360959651,0.154271174118502,0.0840421664849146,0.134787350054526,TRUE,TRUE
"L0671","Sub-Sole","sub sole",10,"Media",44978,2219,20.2694907616043,4.57623727155498,1.98594868602428,10.2588229298261,5.14240648940964,15.7492958921122,67.0081982617069,62.8409060990831,58.289118391305,44978,8933,0.198608208457468,89.8592333797907,0.824113322090147,139.168763849254,9.62110318586374,0.592298220082839,0.0324244573783669,0.796668076298051,0.712837184429203,-0.915015151177756,"normal",0.0672706631346972,0.159005409255838,0.0450548716693008,0.0210137346125593,0.0433408276384035,0.188166418093182,0.234490127551588,0.00356164993433208,0.0587672239164793,0.0158270818956882,0.0301627228813748,0.133339269416557,44978,1.75859766277129,11.983636444484,2.70701307204827,5.58198198198198,1.4,2220,-0.0264536292202272,0.235319844267051,0.408558558558559,1866,1677,1348,2463,1269,2122,1156,1854,0.135659760087241,0.121919302071974,0.0980007270083606,0.179062159214831,0.092257360959651,0.154271174118502,0.0840421664849146,0.134787350054526,TRUE,TRUE
"L0672","Alicia en el País de las Maravillas","alicia en el pais de las maravillas",8,"Basica superior",28000,2020,13.8613861386139,4.318,1.89253571428571,5.83847306930693,2.67524752475248,12.1478620226308,79.149243281471,75.0686388613861,68.3194923788935,28000,4221,0.15075,78.2644790402057,0.845117407952914,108.344056122449,9.06186834303175,0.548922056384743,0.0415499703900246,0.794757253765483,0.696611590982353,-0.961032241692809,"bastante facil",0.0456516286236428,0.131938223384814,0.0712366073028272,0.0396316336403053,0.0484107929910058,0.139284050596624,0.16089153259039,0.00601999498333751,0.0914824237646469,0.0540366216361486,0.0451499623750314,0.166266528111227,28000,0.967672413793103,6.75,2.52894534257121,4.65148514851485,1.20643564356436,2020,0.00305745295085477,0.230781208642162,0.265346534653465,596,968,446,821,612,918,550,1009,0.100675675675676,0.163513513513514,0.0753378378378378,0.138682432432432,0.103378378378378,0.155067567567568,0.0929054054054054,0.170439189189189,FALSE,FALSE
"L0673","Beowulf","beowulf",8,"Basica superior",7774,560,13.8821428571429,4.46616928222279,1.92101878055055,6.54672874784079,3.28035714285714,12.4920573247822,77.4190874526811,73.2733871145577,67.2912523372401,7774,2094,0.269359403138667,88.5741651512039,0.827839585307791,130.500704590824,8.69353322709453,0.655205348615091,0.0376338465039152,0.804900970873802,0.712652768729623,-0.995287243083535,"bastante facil",0.0427559562137798,0.153638119768191,0.0449452672247263,0.0329684481648422,0.0311654861558274,0.179008370895042,0.209401159047006,0.00334835801674179,0.0755956213779781,0.0292337411461687,0.0369607211848036,0.160978750804894,7774,1.3008,5.78852585541549,2.33559744940394,4.76785714285714,1.12678571428571,560,-0.0130696567237618,0.188632523857425,0.371428571428571,400,308,239,568,209,316,205,338,0.154858691444057,0.119241192411924,0.0925280681378242,0.219899341850561,0.0809136662795199,0.122338366240805,0.0793650793650794,0.130855594270228,FALSE,FALSE
"L0674","Como en Santiago","como en santiago",8,"Basica superior",19465,1606,12.1201743462017,3.64520935011559,1.64294888260981,1.79902321214531,1.62515566625156,8.52366480981447,95.9004892102855,92.3591102672069,66.1663265106562,19465,5504,0.282763935268431,192.982250823912,0.907452116926507,56.9709811962681,9.94902674934677,0.742005813953488,0.0298176338418504,0.87696435929123,0.801745326861561,-1.00220439918356,"muy facil",0.0521967286328365,0.117679897281304,0.0500195388823759,0.0359515435717077,0.0453302071121532,0.0955172221291799,0.155194551443086,0.012504884720594,0.087422542287724,0.184670351141629,0.0355049405459722,0.128007592251438,19465,1.21238552115133,4.5723092730542,2.65084518079033,4.48471882640587,0.729828850855746,1636,0.0169517638405854,0.171448546887488,0.137530562347188,206,412,180,326,324,332,155,620,0.0806262230919765,0.161252446183953,0.0704500978473581,0.127592954990215,0.126810176125245,0.129941291585127,0.060665362035225,0.2426614481409,FALSE,FALSE
