"doc_id","n_palabras","n_oraciones","long_oracion_media","letras_por_palabra","silabas_por_palabra","ari","rix","flesch_kincaid","fernandez_huerta","szigriszt_pazos","perfil_mu","tokens","tipos","ttr","mtld","hdd","yule_k","entropia_shannon","hapax_ratio","maas","mattr_50","mattr_100","zipf_pendiente","inflesz"
"L0040",1037,61,17,4.2632594021215,1.824493731919,7.14995178399229,3.65573770491803,12.5690260366442,80.0303760848602,76.1690405014465,63.7662914609545,1037,408,0.39344262295082,74.3570510466397,0.801978873448895,156.764794224122,7.42411863032961,0.683823529411765,0.0445433853349526,0.77566801619433,0.676940298507465,-0.88029255545723,"bastante facil"
"L0043",616,31,19.8709677419355,4.56331168831169,1.93668831168831,9.99868192291579,4.87096774193548,15.0125994972769,70.3703142019271,66.3083504398827,51.6203117831345,616,279,0.452922077922078,81.4704471549107,0.82526197385961,123.281750716816,7.23830525658106,0.709677419354839,0.0442029161260921,0.793897707231038,0.694584139264992,-0.70838755249415,"bastante facil"
"L0044",1602,143,11.2027972027972,4.47253433208489,1.90948813982522,5.23703530551845,2.42657342657343,11.3110509590285,80.8438584636338,76.6710916860917,63.9658381643949,1602,687,0.428838951310861,85.8907522963586,0.846593741146966,109.881374873169,8.13742293839236,0.723435225618632,0.0358043546584131,0.801944623309715,0.710864936793083,-0.912134277861422,"bastante facil"
"L0045",632,160,3.95,4.17563291139241,1.85601265822785,0.212231012658229,0.75,7.85144936708861,91.4502405063291,87.2554113924051,66.1154168009511,632,320,0.506329113924051,132.429001876969,0.896035479175079,60.7374619452011,7.73748870599168,0.70625,0.0376805827796727,0.85897084048027,0.789681050656661,-0.510652920193287,"muy facil"
"L0047",604,40,15.1,4.10264900662252,1.77483443708609,5.44347682119205,2.725,11.2420463576159,84.9479337748345,81.1628145695365,57.3925207412077,604,215,0.355960264900662,33.4073308270677,0.745723370054011,205.802377088724,6.61483432596532,0.665116279069767,0.0580021753313774,0.704612612612612,0.603683168316833,-0.803662877762459,"muy facil"
"L0049",1060,64,16.5625,4.11415094339623,1.83018867924528,6.22890094339623,2.53125,12.4656014150943,80.134929245283,76.2517452830189,73.2302690265773,1060,379,0.357547169811321,69.8449612403101,0.810104461601611,139.426842292631,7.39685018134507,0.614775725593668,0.048802824052388,0.774381800197823,0.675702393340273,-0.847374574046211,"bastante facil"
"L0051",2573,208,12.3701923076923,4.07462106490478,1.74854255732608,3.94656136954767,2.13461538461538,9.86717717644773,89.3098504065891,85.530606370893,64.1314525729555,2573,824,0.320248736883016,60.0193137750801,0.84606399455958,110.480914166048,8.21527349349109,0.554611650485437,0.0425164081013644,0.766450079239292,0.677586903799523,-0.934271842340131,"muy facil"
"L0055",12406,1748,7.09725400457666,3.72086087377076,1.57915524746091,-0.356118282251408,0.90675057208238,5.81196098182359,104.851486067677,101.356374078609,73.6921273278053,12406,4891,0.394244720296631,293.024772981299,0.919010893013336,49.2514932670922,10.2329923571588,0.817215293396033,0.0241221165335375,0.894964797280836,0.832418136020183,-0.984713519285287,"muy facil"
"L0056",160,23,6.95652173913043,4.28125,1.85625,2.21294836956522,1.04347826086957,9.02679347826087,88.369347826087,84.2341032608696,52.2763587799003,160,84,0.525,33.9919678714859,0.697483040396621,296.875,5.66653379176292,0.75,0.0576023775479654,0.713153153153154,0.616065573770492,NA,"muy facil"
"L0057",434,30,14.4666666666667,4.56451612903226,1.97926267281106,7.30220430107527,3.7,13.4072995391705,73.3282396313364,69.0602688172043,61.6616546260549,434,215,0.495391705069124,65.3710674738225,0.819970049267522,130.603750345091,6.99726746159337,0.711627906976744,0.0438521895360158,0.782337662337662,0.683164179104477,NA,"bastante facil"
"L0059",13827,1105,12.5131221719457,4.36443190858465,1.85897157734867,5.38303537540657,2.73574660633484,11.2259822597731,82.5383207436954,78.5079485592324,68.3875827733789,13827,3377,0.244232299124901,94.1712800467567,0.849971017357798,109.562037904997,9.14136414013523,0.640805448623038,0.0357057145987904,0.808811148207257,0.721674679487165,-1.00408859992228,"bastante facil"
"L0060",890801,78622,11.3301747602452,4.13054094012018,1.80889334430473,3.68993520808868,2.09583831497545,10.1737096192915,86.7496210862659,82.8107698895699,61.8229208621564,890801,33132,0.0371934921492005,44.0743491396196,0.815000296880667,149.846301803154,9.34409382329481,0.450983943015816,0.0403824144626529,0.718957195717691,0.621768739713034,-1.2135535393025,"muy facil"
"L0061",10090,897,11.2486064659978,4.0201189296333,1.72289395441031,3.12906339157173,1.917502787068,9.12710518378076,91.9927841400638,88.2501001742401,65.6455717434039,10090,2645,0.262140733399405,56.071130869686,0.834570850491162,127.684143010232,8.91410613672537,0.66351606805293,0.0362709905655848,0.749750024897915,0.666243619257325,-0.967742576652835,"muy facil"
"L0062",522,27,19.3333333333333,4.56513409961686,1.86590038314176,9.73844827586207,4.85185185185185,13.9676245210728,75.1659770114943,71.2560727969349,66.0424470076054,522,269,0.515325670498084,83.4851311232063,0.8421312821597,107.749445839022,7.29658162632647,0.769516728624535,0.0389830263897395,0.789767441860464,0.697470449172576,NA,"bastante facil"
"L0063",4564,337,13.5430267062315,4.59991235758107,1.94916739702016,7.00710055732257,3.6973293768546,12.6919557002681,76.0760689384345,71.8588444594127,60.7862077250364,4564,1130,0.247589833479404,45.9388335427115,0.814439892133364,143.511580551525,8.14778873292447,0.602654867256637,0.0452748691413629,0.725426356589138,0.630067189249719,-0.901223189696614,"bastante facil"
"L0064",126534,11441,11.059697578883,4.48247111448306,1.94945232111527,5.21228773865671,2.51324184948868,11.7268194449246,78.591969202623,74.3244228156355,64.1523004356737,126534,12809,0.101229709011017,109.290812218079,0.857457896348436,99.5191739300217,9.68921453583242,0.518307440081193,0.0382095955962465,0.825954065699607,0.738578083600271,-1.04344135640688,"bastante facil"
"L0065",30216,1387,21.7851478010094,4.40266746094784,1.89763701350278,10.199137641569,4.78010093727469,15.2983244017265,70.7609284328036,66.8270662577674,69.4498444767761,30216,5053,0.167229282499338,84.3444677231518,0.824969124885815,134.370455235761,9.01026471011503,0.595092024539877,0.0386940725417323,0.800137236052571,0.704374605704365,-1.00641982283285,"bastante facil"
"L0066",50472,3849,13.1130163678878,4.49589871611983,1.95791726105563,6.30219113686827,2.95765133800987,12.6275000639327,75.9896876414164,71.7437382683462,60.1504335736481,50472,8641,0.171203835790141,98.2381121571045,0.853823551968505,104.421967829899,9.66689588029196,0.607684295799097,0.0346533502796676,0.817332566487354,0.725449943422041,-0.977687021187915,"bastante facil"
"L0067",9992,704,14.1931818181818,4.13851080864692,1.76030824659728,5.15897681781789,2.74431818181818,10.7169782189388,86.7444597496179,82.9746144188078,54.8651118928092,9992,3217,0.321957566052842,89.3051779738542,0.860756257441149,97.1109153135158,9.29439093601418,0.744793285669879,0.0307679321230654,0.80586141003721,0.717979379359131,-1.02087681378302,"muy facil"
