TIPS;INI_EON;INI_ERA;INI_PERIOD;INI_EPOCH;INI_AGE;FIRST;END_EON;END_ERA;END_PERIOD;END_EPOCH;END_AGE;LAST;STATE;COUNTRY_ORI_ID;ENVIRONMENT;LOCOMOTION;DIET;COMPOSITION;PBDB_KINGDOM;PBDB_PHYLUM;PBDB_CLASS;PBDB_SUBCLASS;PBDB_FAMILY;PBDB_GENUS;SOURCE
Bellusaurus_sui;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;164;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157;extinct ;China;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Bellusaurus;https://www.mindat.org/
Galvesaurus_herreroi;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;156;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;España;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Galvesaurus;https://www.mindat.org/
Tehuelchesaurus_benitezii;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;157;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;Argentina;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Tehuelchesaurus;https://www.mindat.org/
Europasaurus_holgeri;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;156;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Kimmeridgian;151;extinct ;Alemania;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Europasaurus;https://www.mindat.org/
Tastavinsaurus_sanzi;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;122;extinct ;España;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Tastavinsaurus;https://www.mindat.org/
Euhelopus_zdanskyi;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Hauterivian;133;extinct ;China;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;"	Euhelopus";https://www.mindat.org/
Brachiosaurus_altithorax;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Kimmeridgian;153;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;Estados Unidos;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Brachiosaurus;https://www.mindat.org/
Giraffatitan_brancai;Phanerozoic;Mesozoic;Jurassic;Middle Jurassic;Callovian;164;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;Tanzania;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Brachiosaurus;https://www.mindat.org/
Abydosaurus_mcintoshi;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;109;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;105;extinct ;Estados Unidos;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Brachiosaurus;https://www.mindat.org/
Padillasaurus_leivaensis;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Barremian;130;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;extinct ;Colombia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Padillasaurus;https://www.mindat.org/
Sauroposeidon_proteles;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;101;extinct ;Estados Unidos;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Sauroposeidon;https://www.mindat.org/
Venenosaurus_dicrocei;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Barremian;129;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;extinct ;Estados Unidos;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Venenosaurus;https://www.mindat.org/
Cedarosaurus_weiskopfe;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Barremian;129;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;extinct ;Estados Unidos;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Cedarosaurus;https://www.mindat.org/
Lusotitan_atalaiensis;Phanerozoic;Mesozoic;Jurassic;Upper Jurassic;Oxfordian;156;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Berriasian;145;extinct ;Portugal;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Lusotitan;https://www.mindat.org/
Erketu_ellisoni;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Albian;101;Phanerozoic;Mesozoic;Cretaceous;Upper Cretaceous;Campanian;72;extinct ;Mongolia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Erketu;https://www.mindat.org/
Qiaowanlong_kangxii;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;113;extinct ;China;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;Brachiosauridae;Qiaowanlong;https://www.mindat.org/
Phuwiangosaurus_sirindhornae;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Barremian;129;Phanerozoic;Mesozoic;Cretaceous;Lower Cretaceous;Aptian;125;extinct ;Tailandia;terrestrial;actively mobile;herbivore;hydroxylapatite;Animalia;Chordata;Reptilia;Dinosauria;-;Phuwiangosaurus;https://www.mindat.org/
