Isolate name;Standardized name;Isolation;Ecological origins;Geographical origins;HO deletion;Plasmid class;Plasmid CN;Ploidy;Aneuploidies;Zygosity;Total number of SNPs;Proportion of clean heterozygous SNPs (whole dataset);Number of singletons;Mean coverage;Clades;MTA (no distribution);Collection / Provider;Reference
MC10;AIT;Winery surface;Wine;Umbria, Italy;no;A;17;2;euploid;homozygous;42,683;0.0;1;237;1. Wine/European ;;Università politecnica delle Marche (Maurizio Ciani);4
DBVPG1078;BNF;Grape must;Wine;San Ferdinando, Italy;no;none;0;2;euploid;homozygous;42,937;0.0;348;199;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
PB56;BAR;Bark from Quercus sp. (Oak 1), next to vineyard;Tree;Montalcino in Italy;no;A;17;2;euploid;homozygous;42,981;0.0;4;251;1. Wine/European ;;Max Planck Institute for Evolutionary Biology (Primrose Boynton);
PB67;BAS;Soil beneath grape vine;Soil;Montalcino in Italy;no;A;13;2;euploid;homozygous;42,983;0.0;5;229;1. Wine/European ;;Max Planck Institute for Evolutionary Biology (Primrose Boynton);
PB94;BAT;Soil by trunk of Quercus sp. (Oak 1), next to vineyard;Soil;Montalcino in Italy;no;A;21;2;euploid;homozygous;43,008;0.0;1;245;1. Wine/European ;;Max Planck Institute for Evolutionary Biology (Primrose Boynton);
DBVPG4902;BRD;Dried sausages under oil;Unknown;Perugia, Italy;no;A;7;2;euploid;heterozygous;47,063;17.0;569;296;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
CBS6223;AGV;Grape juice;Wine;Chile;yes;A;48;1;euploid;homozygous;42,783;0.0;426;209;1. Wine/European ;;CBS collection (Nguyen H.V.);
DBVPG3924;BQI;Grape must;Wine;Piave, Italy;no;A;7;2;euploid;homozygous;42,837;0.0;233;187;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
CBS3012;AGA;Wine;Wine;Cadiz, Spain;no;A;30;2;"aneu;+2*1;+2*8;";homozygous;42,762;0.0;11;233;1. Wine/European ;;CBS collection (Nguyen H.V.);
CBS3013;AGS;Wine;Wine;Cadiz, Spain;yes;A;50;1;euploid;homozygous;42,714;0.0;11;220;1. Wine/European ;;CBS collection (Nguyen H.V.);
DBVPG1798;BPC;Grape must;Wine;Sicily, Italy;no;A;5;2;euploid;homozygous;43,469;0.0;532;249;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1380;BKE;Grape must;Wine;Rufina, Italy;no;A;19;2;euploid;homozygous;43,206;0.0;360;204;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1626;BLH;Grape must;Wine;La Mancha, Spain;no;A;31;2;euploid;homozygous;43,229;0.0;315;287;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
L-846;CRG;Wine;Wine;Chile;no;A;20;2;euploid;heterozygous;45,841;12.4;399;213;1. Wine/European ;;Pontificia Universidad Catolica de Chile (Claudio Martinez);
C10.4;AIL;Clay;Nature;Cameroon;no;A;48;2;euploid;heterozygous;44,829;10.2;9;212;1. Wine/European ;;;3
SJ5L17;AMS;Probiotic;Probiotic;Austria;no;A;19;2;euploid;heterozygous;45,035;11.3;38;216;1. Wine/European ;yes;Biomin;
DBVPG1611;BLE;Grape must;Wine;Retamosa, La Mancha, Spain;no;A;10;2;euploid;homozygous;43,192;0.0;384;330;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
Y9J_1b;ADB;Wine;Wine;Japan;yes;A;13;1;"aneu;+1*10;";homozygous;44,873;0.0;364;259;1. Wine/European ;;Kruglyak Laboratory;1
DBVPG2049;BQB;Lambrusco grape must;Wine;Reggio Emilia, Italy;no;A;7;2;euploid;heterozygous;47,387;17.7;397;178;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
SJ5L16;AMR;Soil;Soil;Jhuosi, Hualein, Taiwan;no;A;15;2;euploid;homozygous;42,935;0.0;1;223;1. Wine/European ;;National Hsinchu University of Education (Ching-Fu Lee);25
DBVPG4651_1b;ABT;Tuber magnatum;Nature;Italy;yes;A;20;1;euploid;homozygous;42,986;0.0;0;209;1. Wine/European ;;DBVPG collection;1
DBVPG4651;BRA;Surface of Tuber magnatum;Nature;Italy;no;A;8;2;euploid;homozygous;43,409;0.0;2;297;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1056;BIC;grape must;Wine;production zone of Chianti wine, Italy;no;A;19;2;euploid;homozygous;44,477;0.0;374;314;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG1631;BLK;Grape must treated with sulfur dioxide;Wine;Valdepenas, La Mancha, Spain;no;A;75;2;euploid;homozygous;43,993;0.0;339;267;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
2282;BBV;Grapes, Verdosilla variety;Wine;Tuejar, Spain;no;A;9;2;"aneu;+1*3;";heterozygous;46,043;10.6;26;295;1. Wine/European ;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
4LBI-3;BVK;Spontaneous grape fermentation;Wine;Basilicata, Italy;no;A;29;2;euploid;homozygous;43,518;0.0;8;230;1. Wine/European ;;University of Basilicata (Angela Capece and Patrizia Romano);
4.9_WLP099;CFE;Carlsberg Beer, super high gravity;Beer;United Kingdom;no;A;68;2;euploid;heterozygous;46,661;13.9;72;272;1. Wine/European ;;Carlsberg;
DBVPG5760;BRF;Wine fermenter;Wine;Production zone of Sagrantino wine, Montefalco, Foligno, Italy;no;A;9;2;euploid;heterozygous;48,840;19.2;10;215;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
SGU89;BSM;Wine;Wine;Italy;no;A;15;2;euploid;heterozygous;48,638;19.6;5;230;1. Wine/European ;;University of Florence (Duccio Cavalieri);8
SG60;BSN;Wine;Wine;Italy;no;A;12;2;euploid;heterozygous;48,640;19.4;4;228;1. Wine/European ;;University of Florence (Duccio Cavalieri);8
1216;CPE;Unknown;Unknown;El Sauzal, Tenerife, Spain;no;A;10;2;"aneu;+1*1;";homozygous;43,435;0.0;219;244;1. Wine/European ;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
DBVPG1656;BLM;Grape must treated with sulfur dioxide;Wine;Los Campillos, La Mancha, Spain;no;A;7;2;euploid;homozygous;42,837;0.0;188;306;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
DBVPG2088;BQC;Cognac;Distillery;Cognac, France;no;A;13;2;euploid;homozygous;43,003;0.0;161;251;1. Wine/European ;;DBVPG collection (Benedetta Turchetti and Pietro Buzzini);
