Isolate name;Standardized name;Isolation;Ecological origins;Geographical origins;HO deletion;Plasmid class;Plasmid CN;Ploidy;Aneuploidies;Zygosity;Total number of SNPs;Proportion of clean heterozygous SNPs (whole dataset);Number of singletons;Mean coverage;Clades;MTA (no distribution);Collection / Provider;Reference
#60;BDI;Evolution canyon;Nature;Israel;no;B;71;2;"aneu;+1*1;";heterozygous;54,127;25.1;15;233;M2. Mosaic region 2;;Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo);16
#63;BDK;Evolution canyon;Nature;Israel;no;B;29;2;"aneu;+1*1;";homozygous;47,842;0.0;667;219;M2. Mosaic region 2;;Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo);16
YJM1433;SACE_YCT;Wine;Wine;France;no;A;49;2;euploid;homozygous;49,355;0.0;281;46;M2. Mosaic region 2;;;2
YJM1355;SACE_YCC;Molasses;Industrial;Illinois, USA;no;B;142;2;euploid;homozygous;52,252;0.0;908;334;M2. Mosaic region 2;;Phaff collection;2
CLIB1070;BHG;Cider brewery, dry cider;Cider;Lower Normandy, France;no;A;8;2;euploid;heterozygous;57,984;37.6;246;271;M2. Mosaic region 2;;CLIB collection (Serge Casaregola);
CLIB1071;BHH;Cider brewery, dry cider;Cider;Lower Normandy, France;no;A;34;2;euploid;homozygous;47,740;0.0;54;256;M2. Mosaic region 2;;CLIB collection (Serge Casaregola);
CLIB1072;BHI;Cider brewery, dry cider;Cider;Lower Normandy, France;no;A;17;2;euploid;heterozygous;47,149;0.3;40;246;M2. Mosaic region 2;;CLIB collection (Serge Casaregola);
273614N;SACE_MAA;Royal Victoria Infirmary, Newcastle UK, Galloway A Clinical isolate (Fecal) Mackenzie D;Human, clinical;Newcastle, UK;no;B;43;2;euploid;homozygous;48,607;0.0;25;49;M2. Mosaic region 2;;;17
YJM1450;SACE_YCZ;Clinical;Human, clinical;Kansas, USA;no;B;82;2;euploid;homozygous;49,803;0.0;28;75;M2. Mosaic region 2;;;2
CBS1252;AFF;Bakery;Bakery;France;yes;B;23;1;euploid;homozygous;49,046;0.0;34;213;8. Mixed origin ;;CBS collection (Nguyen H.V.);
CBS1236-a;AAL;Bakery;Bakery;France;no;B;107;2;"aneu;-1*6;";heterozygous;66,644;51.4;37;188;8. Mixed origin ;;CBS collection (Nguyen H.V.);
CLIB192_1b;AAM;Bakery;Bakery;France;yes;B;19;1;euploid;homozygous;50,479;0.0;28;188;8. Mixed origin ;;CLIB collection;1
UWOPS83-883-2;ANP;Drosophila sp. from Opuntia stricta,;Insect;Navassa Island;no;B;29;2;euploid;heterozygous;69,442;61.5;36;205;8. Mixed origin ;;University of Western Ontario, Canada (Lachance M.A.);
CBS1487;AHV;Brewery;Beer;NA;yes;B;1;1;"aneu;+1*1;+1*11;";heterozygous;50,020;5.4;26;192;8. Mixed origin ;;CBS collection (Nguyen H.V.);
CECT10131;ATS;Flower;Flower;Spain;no;B;185;2;euploid;heterozygous;66,671;53.1;5;248;8. Mixed origin ;;CECT collection;
1663;BBP;Flower of Centaurea alba;Flower;Spain;no;B;92;2;euploid;heterozygous;66,391;53.0;4;207;8. Mixed origin ;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
CECT10331:9-1;CDR;Flowers of Centaurea alba;Flower;Spain;no;B;42;2;euploid;homozygous;51,780;0.0;26;231;8. Mixed origin ;;CECT collection / State Research Institute of Genetics and Selection of Industrial Microorganisms (Naumov G.I.);
NCYC_2925;BMG;Human sputum;Human, clinical;Norway;no;B;77;3;"aneu;+1*1;";heterozygous;73,522;62.3;74;334;8. Mixed origin ;;National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts);
SBE-1C;CHL;Bakery;Bakery;Northern Europe;no;B;40;2;"aneu;+1*2;+1*13;";heterozygous;67,514;52.0;19;184;8. Mixed origin ;yes;INRA Moulon, France (Sicard D.);
Y6_b;ADP;Unknown;Unknown;French Guiana;no;B;90;2;"aneu;+2*2;+2*9;+2*11;";heterozygous;50,450;6.2;5;267;8. Mixed origin ;;Kruglyak Laboratory;1
SJ6L01;AMK;Leaf of Cunninghamia lanceolata;Tree;Tuchih, Nantou, Taiwan;no;B;33;3;"aneu;-1*7;";heterozygous;76,864;66.2;9;232;8. Mixed origin ;;National Hsinchu University of Education (Ching-Fu Lee);25
SJ5L11;AML;Leaf of Acacia dealbata;Tree;Tuchih, Nantou, Taiwan;no;B;71;3;euploid;heterozygous;75,678;65.5;9;204;8. Mixed origin ;;National Hsinchu University of Education (Ching-Fu Lee);25
SJ1L04;AMI;Leaf of Podocarppus macrophyllus;Tree;Yuchih, Nantou, Taiwan;no;B;47;3;"aneu;+1*1;";heterozygous;78,948;68.2;10;251;8. Mixed origin ;;National Hsinchu University of Education (Ching-Fu Lee);25
SJ7L01;AMG;Leaf of Ardisia cornudentata;Tree;Tuchih, Nantou, Taiwan;no;B;60;3;euploid;heterozygous;78,714;68.7;1;189;8. Mixed origin ;;National Hsinchu University of Education (Ching-Fu Lee);25
SJ5L15;AMQ;Leaf of Acacia dealbata;Tree;Tuchih, Nantou, Taiwan;no;B;66;3;euploid;heterozygous;78,429;68.0;11;191;8. Mixed origin ;;National Hsinchu University of Education (Ching-Fu Lee);25
YS10(E);APK;Baker's yeast;Bakery;South Africa;no;B;54;3;euploid;heterozygous;79,106;68.8;8;240;8. Mixed origin ;;Macquarie University (Philip Bell);18
YS19;APN;"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001";Bakery;Philippines;no;B;26;3;"aneu;+1*1;";heterozygous;79,007;67.4;10;272;8. Mixed origin ;;Macquarie University (Philip Bell);18
Ponton 13;CIE;Mouth;Human, clinical;Spain;no;B;49;3;"aneu;+1*1;-1*3;-1*8;-1*9;-1*10;-1*13;";heterozygous;72,027;60.0;14;212;8. Mixed origin ;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
CBS2973;AEM;Beer wort;Beer;NA;yes;B;9;1;"aneu;+1*11;";heterozygous;50,189;6.0;34;201;8. Mixed origin ;;CBS collection (Nguyen H.V.);
CBS1464;AFT;Infected nail of 4 yo girl;Human, clinical;Austria;no;B;12;4;euploid;homozygous;51,260;0.0;13;221;8. Mixed origin ;;CBS collection (Nguyen H.V.);
CBS8292;AQI;Seawater;Water;Sweden;no;B;117;2;euploid;heterozygous;65,679;56.2;24;202;8. Mixed origin ;;CBS collection (Nguyen H.V.);
CBS8291;AFE;Seawater;Water;Sweden;no;B;84;2;euploid;heterozygous;62,805;42.2;63;188;8. Mixed origin ;;CBS collection (Nguyen H.V.);
CECT10120;ATR;Fruit;Fruit;Spain;no;B;64;2;euploid;heterozygous;64,234;48.7;66;199;8. Mixed origin ;;CECT collection;
CBS7764;AFC;Salmo gairdneri (rainbow trout);Nature;Goteborg, Sweden;no;B;2;2;"aneu;+1*7;-1*14;";heterozygous;66,068;48.2;23;294;8. Mixed origin ;;CBS collection (Nguyen H.V.);
YS15;APM;"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001";Bakery;Korea;no;B;31;2;"aneu;+1*9;";heterozygous;64,114;46.0;32;215;8. Mixed origin ;;Macquarie University (Philip Bell);18
YS20;API;"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001";Bakery;Korea;no;B;30;2;"aneu;+1*8;+1*9;";heterozygous;68,623;54.0;7;224;8. Mixed origin ;;Macquarie University (Philip Bell);18
CLIB340;ASL;Bakery levain;Bakery;Anatolia, Turkey;no;B;177;2;"aneu;+1*2;+1*9;";heterozygous;66,262;46.5;7;243;8. Mixed origin ;;CLIB collection / (Oraler G.);
YS22(E);BTF;"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001";Bakery;NA;no;B;31;2;"aneu;+1*1;+1*9;";heterozygous;66,945;47.3;5;407;8. Mixed origin ;;Macquarie University (Philip Bell);18
B1;ASP;Unknown;Unknown;France;no;B;307;2;euploid;heterozygous;71,670;61.5;28;205;8. Mixed origin ;;Washington University School of Medicine (Justin C Fay);5
#23;BCR;Evolution canyon;Nature;Israel;no;B;256;4;"aneu;+1*8;";heterozygous;85,985;76.5;63;215;8. Mixed origin ;;Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo);16
#03;BCS;Evolution canyon;Nature;Israel;no;B;64;2;euploid;heterozygous;66,063;54.3;2;229;8. Mixed origin ;;Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo);16
#05;BCT;Evolution canyon;Nature;Israel;no;B;56;2;euploid;heterozygous;64,918;50.0;4;248;8. Mixed origin ;;Comenius University in Bratislava (Josef Nosek)  and University of Haifa (Eviatar Nevo);16
CBS2361;AGK;Trinidadian cane sugar;Nature;UK;yes;B;5;1;euploid;homozygous;51,923;0.0;21;405;8. Mixed origin ;;CBS collection (Nguyen H.V.);
CBS1385;AGE;Bakery;Bakery;NA;no;B;51;2;"aneu;-1*6;";heterozygous;65,234;47.9;16;211;8. Mixed origin ;;CBS collection (Nguyen H.V.);
79;BTC;Fleischmann baker's yeast.;Bakery;NA;no;B;86;2;euploid;heterozygous;64,470;44.5;30;235;8. Mixed origin ;;National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts);
DBVPG6861;ABV;Poluted stream;Water;Tijuca forest, Rio de Janeiro, Brazil;no;B;45;3;"aneu;+1*1;+1*9;";heterozygous;84,868;73.0;36;241;8. Mixed origin ;;DBVPG collection;1
21-4-124;ALV;Fruit of plum tree (Prunus domestica L., 'Stanley');Fruit;Male Zaluzie, Slovakia;no;B;20;3;"aneu;+1*1;+1*7;+1*9;+1*11;";heterozygous;85,367;74.2;16;195;8. Mixed origin ;;Culture collection of Yeast (Renata Vadkertiova);
CCY_21-4-88;BBC;Fruitbody of mushroom Xerocomus badius (Fr.) Gilb.;Fruit;Laksarska Nova Ves, Slovakia;no;B;63;3;"aneu;+1*7;";heterozygous;83,317;71.0;31;320;8. Mixed origin ;;Culture collection of Yeast (Renata Vadkertiova);
SJ5L13;AMN;Leaf of Wendlandia formosana;Tree;Tuchih, Nantou, Taiwan;no;B;29;4;euploid;heterozygous;92,215;77.6;47;253;8. Mixed origin ;;National Hsinchu University of Education (Ching-Fu Lee);25
3.4_Safbrew_T-58;CFP;Carlsberg Beer;Beer;NA;no;B;110;4;euploid;heterozygous;93,432;78.5;6;225;8. Mixed origin ;;Carlsberg;
CCY_21-4-102;BBF;River water (Danube);Water;Bratislava, Slovakia;no;B;71;2;euploid;heterozygous;68,837;49.6;35;227;8. Mixed origin ;;Culture collection of Yeast (Renata Vadkertiova);
CLIB326_1;AAP;Bakery;Bakery;Australia;no;B;36;2;euploid;heterozygous;68,539;51.0;19;197;8. Mixed origin ;;CLIB collection;1
21-4-103;ALN;River water (Morava);Water;Bratislava, Deninska Nova Ves, Slovakia;no;B;23;2;euploid;heterozygous;71,303;53.9;23;218;8. Mixed origin ;;Culture collection of Yeast (Renata Vadkertiova);
21-4-105;ALP;River water Morava;Water;Bratislava, Deninska Nova Ves, Slovakia;no;B;24;2;"aneu;+1*9;";heterozygous;69,838;51.0;12;223;8. Mixed origin ;;Culture collection of Yeast (Renata Vadkertiova);
CCY_21-4-97;BBD;Fish pond water;Water;Jakubov, Slovakia;no;B;49;2;"aneu;+1*8;";heterozygous;69,389;52.0;25;310;8. Mixed origin ;;Culture collection of Yeast (Renata Vadkertiova);
CCY_21-4-98;BBE;Sediment of fresh water lake;Water;Jakubov, Slovakia;no;B;106;2;"aneu;+1*8;";heterozygous;67,543;48.0;22;302;8. Mixed origin ;;Culture collection of Yeast (Renata Vadkertiova);
CLIB274_1;AAN;Bakery;Bakery;Czech Republic;no;B;35;2;"aneu;-1*3;";heterozygous;70,294;54.1;15;189;8. Mixed origin ;;CLIB collection;1
646-3B;CHI;Bakery;Bakery;USA;no;B;23;2;euploid;heterozygous;70,916;56.1;21;177;8. Mixed origin ;yes;INRA Moulon, France (Sicard D.);
YS11(E);APL;"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001";Bakery;Turkey;no;B;16;2;euploid;heterozygous;69,856;56.1;39;204;8. Mixed origin ;;Macquarie University (Philip Bell);18
CBS6216;AEV;Tapwater;Water;Rotterdam, Netherlands;no;B;29;2;"aneu;+1*7;";heterozygous;68,065;47.0;33;228;8. Mixed origin ;;CBS collection;
2.6_Windsor_British;CFI;Carlsberg Beer;Beer;UK;no;B;103;4;"aneu;+1*9;";heterozygous;94,571;77.7;28;253;8. Mixed origin ;;Carlsberg;
3.3_Safale_S-33;CFN;Carlsberg Beer;Beer;NA;no;B;100;4;"aneu;+1*2;+1*9;";heterozygous;95,047;77.6;33;277;8. Mixed origin ;;Carlsberg;
Win-8B;CHK;Brewery;Beer;UK;no;B;38;2;"aneu;+1*9;";heterozygous;71,262;54.1;13;212;8. Mixed origin ;yes;INRA Moulon, France (Sicard D.);
319-5C;CHH;Bakery;Bakery;France;no;B;10;2;"aneu;+1*7;";heterozygous;68,402;52.3;102;150;8. Mixed origin ;yes;INRA Moulon, France (Sicard D.);
CLIB318_1;ADL;Bakery;Bakery;Netherlands;no;B;33;2;"aneu;+1*1;+1*6;+1*9;+1*11;";heterozygous;75,765;59.2;15;216;8. Mixed origin ;;CLIB collection;1
CLQCA_10-386;BDL;Beer;Beer;Equador;no;B;9;2;euploid;heterozygous;73,045;53.7;29;240;8. Mixed origin ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
EXF-6835;BFM;Petrol station, oil contaminated asphalt;Industrial;Slovenia;no;B;141;4;"aneu;-1*13;-1*16;";heterozygous;86,428;77.5;19;77;8. Mixed origin ;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
EXF-5734;BFE;Spoiled gooseberry juice;Industrial;NA;no;B;127;4;"aneu;-1*14;";heterozygous;96,517;78.0;6;270;8. Mixed origin ;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
EXF-5869;BFG;Rotten wood;Nature;NA;no;B;103;4;euploid;heterozygous;96,580;78.6;11;199;8. Mixed origin ;;University of Ljubljana, Biotech Facility dept. Biology Ljubljana, Slovenia (Gunde-Cimerman N.);
YS5(E);BTD;"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001";Bakery;NA;no;B;35;4;"aneu;+1*10;";heterozygous;91,744;79.0;42;90;8. Mixed origin ;;Macquarie University (Philip Bell);18
CLIB324_2;ADM;Bakery;Bakery;Vietnam;no;B;69;2;euploid;heterozygous;72,819;54.8;34;298;8. Mixed origin ;;CLIB collection;1
CLQCA_10-003;AKT;Stingless bee;Insect;Pichincha, Ecuador;no;A;18;2;euploid;heterozygous;71,777;55.7;58;186;8. Mixed origin ;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
324-6C;CHG;Bakery;Bakery;Vietnam;no;B;57;2;euploid;heterozygous;70,009;53.5;44;225;8. Mixed origin ;yes;INRA Moulon, France (Sicard D.);
SC 29 F. Dromer IP;CHR;Vagina;Human, clinical;France;no;A;52;2;euploid;heterozygous;73,587;56.4;10;212;8. Mixed origin ;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
NCYC_2780;BML;Vagina;Human, clinical;Belgium;no;B;19;4;"aneu;-1*3;+1*6;-1*7;-1*10;";heterozygous;92,767;76.9;57;328;8. Mixed origin ;;National Collection of Yeast Cultures (NCYC)(Stephen A James and Ian Roberts);
YS8(E);BTE;"type yeasts of the species Saccharomyces cerevisiae in different sugar media"", Letters in Applied Microbiology 2001";Bakery;NA;no;B;38;4;euploid;heterozygous;97,345;80.4;27;282;8. Mixed origin ;;Macquarie University (Philip Bell);18
2680;BMM;Vagina;Human, clinical;Vall d'Hebron hospital, Barcelona, Spain;no;A;20;4;"aneu;-1*1;-1*6;+1*7;-1*9;+1*13;+1*15;";heterozygous;96,513;80.4;11;220;8. Mixed origin ;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
SD-15;CBF;Sourdough levan;Bakery;Matera, Italy;no;A;158;4;"aneu;+1*9;";heterozygous;97,515;80.8;13;232;8. Mixed origin ;;University of Basilicata (Angela Capece and Patrizia Romano);
malade 98 3312;CKK;Feces, clinical;Human, clinical;Amiens, France;no;A;96;4;euploid;heterozygous;95,578;80.8;13;155;8. Mixed origin ;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
malade Berchid;CKS;Unknown;Human, clinical;France;no;B;132;4;"aneu;+1*15;-1*16;";heterozygous;95,106;79.0;15;236;8. Mixed origin ;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
malade Moreau;CLA;Unknown;Human, clinical;France;no;B;142;4;"aneu;-1*14;";heterozygous;95,895;80.5;18;195;8. Mixed origin ;;Inserm Université P. M. Curie, Paris, France (Hennequin C.);
YJM1326;SACE_YBW;Unknown;Human, clinical;Minnesota, USA;no;A;55;2;euploid;homozygous;52,705;0.0;156;567;No data;;Phaff collection;2
LCBG-3D6;CPI;Agave spp. fermentation during rustic mezcal production;Distillery;Tamaulipas, Mexico;no;Spar;8;2;euploid;heterozygous;74,644;22.3;653;252;9. Mexican agave ;;Instituto Politécnico Nacional - Centro de Biotecnología Genómica (Claudia Patricia Larralde Corona);19
LCBG-3D2;CPM;Agave spp. fermentation during rustic mezcal production;Distillery;Tamaulipas, Mexico;no;none;0;2;euploid;heterozygous;73,782;21.5;583;234;9. Mexican agave ;;Instituto Politécnico Nacional - Centro de Biotecnología Genómica (Claudia Patricia Larralde Corona);19
LCBG-Mosca3;CPK;Agave spp. fermentation during rustic mezcal production;Distillery;Tamaulipas, Mexico;no;A;27;2;euploid;heterozygous;71,788;22.3;53;131;9. Mexican agave ;;Instituto Politécnico Nacional - Centro de Biotecnología Genómica (Claudia Patricia Larralde Corona);
LCBG-4Y3;CPL;Agave spp. fermentation during rustic mezcal production;Distillery;Tamaulipas, Mexico;no;A;16;2;euploid;heterozygous;73,971;23.0;256;248;9. Mexican agave ;;Instituto Politécnico Nacional - Centro de Biotecnología Genómica (Claudia Patricia Larralde Corona);
LCBG-3D4;CPQ;Agave spp. fermentation during rustic mezcal production;Distillery;Tamaulipas, Mexico;no;A;20;2;"aneu;+1*11;";heterozygous;74,034;24.7;445;195;9. Mexican agave ;;Instituto Politécnico Nacional - Centro de Biotecnología Genómica (Claudia Patricia Larralde Corona);
LCBG-3Y3;CPN;Agave spp. fermentation during rustic mezcal production;Distillery;Tamaulipas, Mexico;no;A;9;2;euploid;heterozygous;75,247;25.5;199;183;9. Mexican agave ;;Instituto Politécnico Nacional - Centro de Biotecnología Genómica (Claudia Patricia Larralde Corona);19
LCBG-3Y8;CPR;Agave spp. fermentation during rustic mezcal production;Distillery;Tamaulipas, Mexico;no;A;14;2;"aneu;+1*12;";heterozygous;75,527;25.9;242;211;9. Mexican agave ;;Instituto Politécnico Nacional - Centro de Biotecnología Genómica (Claudia Patricia Larralde Corona);19
CLQCA_20-060;ALI;Water in leaf with organic matter;Water;Yasuni National Park, Orellana, Ecuador;no;Spar;8;2;euploid;heterozygous;86,950;18.6;9,326;210;No data;;National Collection of Yeast Cultures (NCYC)(Stephen A James) and Colección de Levaduras Quito Católica (CLQCA)(Enrique Javier Carvajal Barriga);
HE008;BCG;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;84,266;10.3;417;230;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE001;BCB;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,898;11.1;366;218;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE013;BCM;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;82,798;8.5;257;207;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY619;BDT;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,991;10.1;202;223;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE007;BCF;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,879;9.6;286;224;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE012;BCL;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,806;8.6;127;230;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE005;BCD;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;85,291;12.3;119;233;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY615;BDP;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;84,072;9.0;174;277;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE010;BCI;Human feces;Human;French Guiana;no;none;0;2;"aneu;+1*4;";heterozygous;84,562;11.3;300;217;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE004;BCC;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;82,839;11.1;83;112;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY623;BEC;Human feces;Human;French Guiana;no;none;0;2;"aneu;+1*12;";heterozygous;83,878;9.0;123;223;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY624;BED;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;84,956;12.0;150;217;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE006;BCE;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,514;8.8;193;190;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE020;BCQ;Human;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,686;9.0;147;226;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY620;BDV;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;84,027;9.8;140;228;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY651;BNB;Fruits;Fruit;French Guiana;no;none;0;2;euploid;heterozygous;85,700;11.4;127;284;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY617;BDR;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;82,774;8.3;304;189;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY649;BMV;Agouti paca (RO);Nature;French Guiana;no;none;0;2;euploid;heterozygous;83,933;9.1;101;300;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY650;BNA;Agouti paca (RO);Nature;French Guiana;no;none;0;2;euploid;heterozygous;84,173;10.3;147;297;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE009;BCH;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,906;9.7;288;242;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE016;BCP;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,189;9.3;95;192;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY618;BDS;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;84,136;11.2;125;196;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE015;BCN;Human feces;Human;French Guiana;no;none;0;1;euploid;homozygous;79,777;0.0;45;213;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY621;BEA;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;83,253;8.2;115;186;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY652;BNC;Fruits;Fruit;French Guiana;no;none;0;2;euploid;heterozygous;83,874;7.5;317;334;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY616;BDQ;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;85,618;12.8;671;213;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY622;BEB;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;85,611;11.6;655;307;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
HE011;BCK;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;84,931;11.4;445;238;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY646;BMR;Chicken;Nature;French Guiana;no;none;0;2;euploid;heterozygous;82,826;6.6;245;291;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY625;BEE;Human feces;Human;French Guiana;no;none;0;2;euploid;heterozygous;84,594;11.1;429;241;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY653;BND;Fruits;Fruit;French Guiana;no;none;0;2;euploid;heterozygous;82,589;6.0;300;189;10. French Guiana human ;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);20
CEY647;CQS;Molossus molossus (bat);Nature;French Guiana;no;none;0;2;euploid;homozygous;80,676;0.0;19,508;243;No data;;Institut Pasteur (Christophe d'Enfert and Marie-Elisabeth Bougnoux);
908;BBM;Raicilla (Mexican distilled spirit);Distillery;Jalisco, Mexico;no;Spar;30;2;euploid;homozygous;79,266;0.0;3,874;279;No data;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
906;CPA;Must from various Agave sp. ;Nature;Mexico;no;A;13;2;euploid;heterozygous;83,678;21.3;4,762;299;No data;;Instituto de Agroquímica y Tecnología de los Alimentos (IATA)-CSIC (Amparo Querol);
PW5_b;ADE;Raphia palm wine;Palm wine;Aba, Abia State, Nigeria;yes;none;0;1;euploid;homozygous;74,022;0.0;2,686;261;No data;;Kruglyak Laboratory;1
YJM1399;SACE_YCL;Wild cherry tree;Tree;NA;no;none;0;2;euploid;homozygous;46,357;0.0;867;88;No data;;Phaff collection;2
YJM1311;SACE_YBV;Unknown;Human, clinical;Michigan, USA;no;B;77;2;euploid;homozygous;50,816;0.0;408;282;No data;;Phaff collection;2
YJM693;SACE_YAX;Unknown;Human, clinical;Texas, USA;no;none;0;2;euploid;homozygous;49,810;0.0;683;40;No data;;Phaff collection;2
YJM1385;SACE_YCG;Sugar refinery;Industrial;Maryland, USA;no;none;0;2;euploid;homozygous;51,737;0.0;1,115;185;No data;;Phaff collection;2
CBS1388a;AAH;Unknown;Unknown;NA;yes;A;1;1;euploid;homozygous;52,600;0.0;780;264;No data;;CBS collection (Nguyen H.V.);
CBS1173;AFS;Fruit ilex;Fruit;NA;no;none;0;2;"aneu;-1*2;-1*3;-1*4;-1*6;-1*9;-1*10;-1*11;-1*15;-1*16;";heterozygous;58,552;18.4;1,314;237;No data;;CBS collection (Nguyen H.V.);
